update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,0.954390,0.964137,nan,0.200000,nan,2.367026
2,0.902739,0.910543,1.476147,0.200020,-7.244654,2.299357
3,0.890838,0.894231,nan,0.200020,nan,2.252120
4,1.033193,1.036911,1.440266,0.200040,-7.080347,2.519327
5,0.665926,0.665524,nan,0.200040,nan,1.791342
6,1.077318,1.074989,1.233898,0.200059,-5.973056,2.626949
7,1.023844,1.021122,nan,0.200059,nan,2.499639
8,0.685659,0.683923,1.629530,0.200078,-7.954164,1.811786
9,0.858533,0.856732,nan,0.200078,nan,2.163897
10,0.920030,0.919565,2.034388,0.200098,-9.951263,2.309904
11,0.904507,0.905241,nan,0.200098,nan,2.286834
12,0.799525,0.800554,1.535566,0.200117,-7.418427,2.024771
13,1.120561,1.121226,nan,0.200117,nan,2.690711
14,0.613353,0.614436,1.192574,0.200135,-5.650035,1.688095
15,0.827921,0.828068,nan,0.200135,nan,2.119702
16,0.825707,0.825851,1.318238,0.200153,-6.231510,2.128401
17,1.027266,1.025297,nan,0.200153,nan,2.527481
18,0.896013,0.895724,1.446938,0.200171,-6.920999,2.241066
19,0.699274,0.698794,nan,0.200171,nan,1.840456
20,0.887776,0.887696,1.786825,0.200189,-8.625315,2.209525
21,1.083485,1.083556,nan,0.200189,nan,2.625031
22,1.189754,1.189467,1.674251,0.200208,-7.885759,2.840080
23,0.790184,0.790612,nan,0.200208,nan,2.033912
24,1.039869,1.039507,1.202609,0.200226,-5.395204,2.567911
25,0.940615,0.939645,nan,0.200226,nan,2.336375
26,1.098399,1.097503,1.455764,0.200244,-6.565216,2.686781
27,0.825334,0.824622,nan,0.200244,nan,2.111843
28,0.945052,0.945380,1.540988,0.200261,-6.507412,2.372221
29,0.973749,0.974226,nan,0.200261,nan,2.400523
30,0.921216,0.920462,1.768654,0.200279,-7.431050,2.292538
31,0.947098,0.945618,nan,0.200279,nan,2.368342
32,1.037294,1.035126,1.916402,0.200298,-7.980334,2.551484
33,0.890688,0.891027,nan,0.200298,nan,2.238399
34,0.607551,0.603222,1.743625,0.200316,-6.851057,1.645218
35,0.850310,0.850111,nan,0.200316,nan,2.173768
36,0.858567,0.860164,1.904036,0.200335,-7.500508,2.171795
37,1.014392,1.008528,nan,0.200335,nan,2.481842
38,1.000520,0.991096,2.026944,0.200353,-7.333221,2.449180
39,0.697542,0.685111,nan,0.200353,nan,1.847562
40,0.758016,0.746188,2.078183,0.200372,-7.261128,1.975579
41,0.567407,0.561472,nan,0.200372,nan,1.570215
42,0.869254,0.866911,2.338075,0.200392,-8.987879,2.198731
43,0.673981,0.668812,nan,0.200392,nan,1.784127
44,0.746439,0.745351,2.303050,0.200412,-8.102451,1.932194
45,0.768760,0.760146,nan,0.200412,nan,1.980850
46,0.897000,0.887488,1.758582,0.200430,-5.065192,2.243997
47,0.692348,0.677274,nan,0.200430,nan,1.831175
48,0.559300,0.547432,1.915668,0.200449,-6.239292,1.557794
49,0.725741,0.709736,nan,0.200449,nan,1.892035
50,0.739423,0.723087,2.637516,0.200467,-7.955323,1.940358
51,0.721499,0.709161,nan,0.200467,nan,1.893173
52,1.010139,1.000967,2.405627,0.200486,-6.437236,2.467433
53,0.773738,0.756848,nan,0.200486,nan,1.997600
54,0.726050,0.702608,2.434012,0.200503,-6.109900,1.905408
55,0.696248,0.675004,nan,0.200503,nan,1.841860
56,0.680920,0.657615,2.451832,0.200521,-6.381121,1.787696
57,0.663907,0.639634,nan,0.200521,nan,1.758646
58,0.665763,0.640948,3.219217,0.200539,-8.101404,1.774485
59,0.689011,0.662767,nan,0.200539,nan,1.808566
60,0.641393,0.615125,2.939210,0.200557,-7.487775,1.711588
61,0.540511,0.494039,nan,0.200557,nan,1.507405
62,0.623130,0.582393,3.054461,0.200576,-6.879380,1.676658
63,0.502878,0.456215,nan,0.200576,nan,1.411564
64,0.671082,0.638081,2.943862,0.200594,-6.464099,1.779790
65,0.614222,0.593750,nan,0.200594,nan,1.652826
66,0.575519,0.549824,2.892312,0.200612,-7.088979,1.576505
67,0.753951,0.728284,nan,0.200612,nan,1.940468
68,0.622330,0.584793,3.640933,0.200631,-8.923950,1.640817
69,0.613923,0.585884,nan,0.200631,nan,1.667346
70,0.648020,0.631322,2.693934,0.200649,-6.362941,1.742184
71,0.525585,0.501827,nan,0.200649,nan,1.461995
72,0.501915,0.473162,3.414378,0.200669,-9.169605,1.421391
73,0.555664,0.535658,nan,0.200669,nan,1.506184
74,0.490456,0.470939,3.114234,0.200688,-7.331261,1.385733
75,0.637577,0.611130,nan,0.200688,nan,1.699408
76,0.564437,0.536552,3.186929,0.200707,-5.016880,1.540694
77,0.481444,0.458043,nan,0.200707,nan,1.380347
78,0.556222,0.526483,3.711739,0.200725,-7.910811,1.523144
79,0.435223,0.413876,nan,0.200725,nan,1.283113
80,0.608762,0.585844,3.281326,0.200743,-6.444648,1.640146
81,0.787272,0.775030,nan,0.200743,nan,2.019898
82,0.514962,0.499388,3.313768,0.200762,-7.007723,1.426152
83,0.488420,0.468050,nan,0.200762,nan,1.377747
84,0.387332,0.364971,3.880909,0.200780,-8.143854,1.159995
85,0.551685,0.539257,nan,0.200780,nan,1.501224
86,0.567697,0.549976,3.505029,0.200799,-7.487648,1.548565
87,0.483688,0.471900,nan,0.200799,nan,1.344858
88,0.601158,0.588766,2.827076,0.200818,-6.376757,1.616333
89,0.548975,0.539497,nan,0.200818,nan,1.510060
90,0.428146,0.414818,3.597426,0.200837,-8.350561,1.257068
91,0.608840,0.601157,nan,0.200837,nan,1.628135
92,0.566579,0.551409,3.227124,0.200857,-7.369622,1.530872
93,0.523926,0.510038,nan,0.200857,nan,1.486929
94,0.498739,0.490327,3.148183,0.200876,-6.892231,1.375316
95,0.584497,0.575680,nan,0.200876,nan,1.608466
96,0.606853,0.594592,3.497108,0.200895,-8.093401,1.652266
97,0.364396,0.351792,nan,0.200895,nan,1.128276
98,0.350982,0.345060,4.364845,0.200915,-8.416267,1.087240
99,0.547132,0.536845,nan,0.200915,nan,1.501267
