date,portfolio_return,qqq_return
2010-01-11,0.00000000,-0.00129249
2010-01-19,0.01945896,0.00496116
2010-01-25,-0.04778225,-0.04893751
2010-02-01,-0.00762757,-0.02369675
2010-02-08,-0.00759082,-0.01363847
2010-02-16,0.05322047,0.03866889
2010-02-22,0.01777524,0.00947658
2010-03-01,0.02250778,0.01497537
2010-03-08,0.01738906,0.02466415
2010-03-15,0.02632415,0.01525904
2010-03-22,0.01637033,0.01439451
2010-03-29,0.00669360,0.00646914
2010-04-05,0.00773764,0.00787894
2010-04-12,0.01314471,0.00946305
2010-04-19,0.00249471,0.00876300
2010-04-26,0.02381524,0.01838384
2010-05-03,0.01414699,-0.00952191
2010-05-10,-0.03974067,-0.04326056
2010-05-17,-0.00395530,-0.01444418
2010-05-24,-0.04823858,-0.05140191
2010-06-01,0.00931704,0.01164354
2010-06-07,-0.02533304,-0.02014165
2010-06-14,0.04098996,0.02755819
2010-06-21,0.02653337,0.02440090
2010-06-28,-0.03262945,-0.03197420
2010-07-06,-0.05915700,-0.05564181
2010-07-12,0.04913458,0.05046952
2010-07-19,0.01239803,-0.00067036
2010-07-26,0.04858552,0.03846148
2010-08-02,0.01303398,0.00495262
2010-08-09,0.01580861,0.00878517
2010-08-16,-0.04617014,-0.04842826
2010-08-23,-0.01239603,-0.00714285
2010-08-30,-0.02317232,-0.01955933
2010-09-07,0.04883267,0.04792479
2010-09-13,0.03539290,0.03391683
2010-09-20,0.02953898,0.03343919
2010-09-27,0.03233441,0.01146831
2010-10-04,-0.02100520,-0.01842478
2010-10-11,0.02258236,0.02660893
2010-10-18,0.02161284,0.03074139
2010-10-25,0.02362215,0.01150098
2010-11-01,0.00460108,0.00635964
2010-11-08,0.02518471,0.02910763
2010-11-15,-0.01609017,-0.02660961
2010-11-22,0.00846147,0.01147005
2010-11-29,-0.00706593,-0.00340201
2010-12-06,0.02895110,0.02124026
2010-12-13,0.00207841,0.00835656
2010-12-20,-0.00795716,0.00478825
2010-12-27,0.00425397,0.00384896
2011-01-03,0.07272762,0.00985943
2011-01-10,0.01648547,0.01392154
2011-01-18,0.02687913,0.01925817
2011-01-24,-0.01204269,-0.01242126
2011-01-31,-0.00508220,-0.00797167
2011-02-07,0.04205722,0.02946431
2011-02-14,0.02700228,0.01613183
2011-02-22,-0.02888070,-0.02645959
2011-02-28,0.00557574,0.01297566
2011-03-07,-0.00926079,-0.01003984
2011-03-14,-0.00714083,-0.01573698
2011-03-21,-0.00312063,-0.01403448
2011-03-28,0.02970832,0.01855854
2011-04-04,0.03488711,0.01309042
2011-04-11,-0.08598948,-0.00890522
2011-04-18,-0.01201130,-0.00898517
2011-04-25,0.03671090,0.03982225
2011-05-02,0.00336788,0.00820652
2011-05-09,-0.00932244,-0.00474822
2011-05-16,-0.03010757,-0.02197985
2011-05-23,-0.00549123,-0.00836243
2011-05-31,-0.13393790,0.02529871
2011-06-06,-0.05036185,-0.04232353
2011-06-13,-0.03197195,-0.02236536
2011-06-20,-0.00674256,-0.01043191
2011-06-27,0.04008788,0.02182357
2011-07-05,-0.10500143,0.05339368
2011-07-11,-0.03603376,-0.00412374
2011-07-18,-0.01565620,-0.00724635
2011-07-25,0.03237091,0.03371565
2011-08-01,-0.03031284,-0.02942165
2011-08-08,-0.14311227,-0.12367919
2011-08-15,0.08998331,0.07452066
2011-08-22,-0.08516981,-0.07634293
2011-08-29,0.09752578,0.08763198
2011-09-06,-0.02378854,-0.02417139
2011-09-12,0.00991425,0.01069618
2011-09-19,0.03457733,0.05105830
2011-09-26,-0.05997092,-0.03232648
2011-10-03,-0.08623952,-0.06644760
2011-10-10,0.11849192,0.09385998
2011-10-17,-0.12265688,0.02395424
2011-10-24,0.05965647,0.02112435
2011-10-31,0.00549421,-0.00923236
2011-11-07,0.00780781,0.00448660
2011-11-14,-0.01719217,-0.01236896
2011-11-21,-0.06522536,-0.05479216
2011-11-28,0.00533257,0.00699303
2011-12-05,0.05314022,0.04605264
2011-12-12,-0.02732207,-0.01502447
2011-12-19,-0.05882365,-0.03653780
2011-12-27,0.04797004,0.03534613
