update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,0.764456,0.768581,nan,0.200000,nan,1.991101
2,0.592691,0.596256,1.068223,0.200020,-5.204080,1.639916
3,0.599038,0.599568,nan,0.200020,nan,1.650513
4,0.661372,0.660438,1.354410,0.200038,-6.589594,1.787968
5,0.610474,0.609243,nan,0.200038,nan,1.648188
6,0.817149,0.815513,1.460246,0.200057,-7.105027,2.104798
7,0.718528,0.719104,nan,0.200057,nan,1.887599
8,0.501253,0.501343,1.654833,0.200076,-8.050842,1.398006
9,0.520666,0.521666,nan,0.200076,nan,1.479850
10,0.727102,0.728264,2.015502,0.200095,-9.823306,1.915848
11,0.460812,0.461634,nan,0.200095,nan,1.329115
12,0.627380,0.626764,1.563473,0.200115,-7.522686,1.696757
13,0.718351,0.718133,nan,0.200115,nan,1.872307
14,0.745536,0.745284,1.657177,0.200134,-7.959455,1.938036
15,0.492903,0.494030,nan,0.200134,nan,1.410749
16,0.593927,0.594275,1.404455,0.200153,-6.678962,1.603944
17,0.596190,0.596881,nan,0.200153,nan,1.635529
18,0.732241,0.733078,1.444299,0.200172,-6.837869,1.917541
19,0.746033,0.746120,nan,0.200172,nan,1.926687
20,0.668809,0.667993,1.380795,0.200190,-6.437824,1.796571
21,0.603590,0.602812,nan,0.200190,nan,1.665696
22,0.697070,0.696616,1.529987,0.200209,-7.155145,1.841867
23,0.735761,0.736544,nan,0.200209,nan,1.945014
24,0.620417,0.622156,1.798083,0.200228,-8.402042,1.699116
25,0.714557,0.716456,nan,0.200228,nan,1.872668
26,0.797356,0.798185,1.321986,0.200246,-5.972070,2.041365
27,0.487117,0.487553,nan,0.200246,nan,1.390847
28,0.558616,0.558425,2.046132,0.200265,-9.420912,1.594177
29,0.633530,0.634243,nan,0.200265,nan,1.733798
30,0.569545,0.570206,1.713933,0.200285,-7.706904,1.542556
31,0.733967,0.735027,nan,0.200285,nan,1.912865
32,0.543035,0.542855,1.676822,0.200304,-7.306739,1.522948
33,0.572053,0.572107,nan,0.200304,nan,1.586129
34,0.583511,0.584055,1.933381,0.200324,-8.405710,1.603781
35,0.764603,0.764397,nan,0.200324,nan,1.989870
36,0.498526,0.498324,1.816453,0.200343,-7.800622,1.429310
37,0.581809,0.581201,nan,0.200343,nan,1.607800
38,0.484123,0.483456,1.978381,0.200363,-8.340532,1.398400
39,0.534302,0.534576,nan,0.200363,nan,1.525738
40,0.616545,0.617961,1.439133,0.200382,-5.531601,1.668113
41,0.471308,0.471368,nan,0.200382,nan,1.379126
42,0.519726,0.519274,1.744938,0.200401,-7.063310,1.476120
43,0.666538,0.667251,nan,0.200401,nan,1.773364
44,0.625462,0.624643,1.763916,0.200420,-7.283381,1.718498
45,0.676779,0.677986,nan,0.200420,nan,1.783413
46,0.520913,0.521900,1.906487,0.200439,-7.489764,1.483134
47,0.480784,0.482504,nan,0.200439,nan,1.386319
48,0.621753,0.622006,1.735543,0.200457,-6.830182,1.657829
49,0.666040,0.663958,nan,0.200457,nan,1.765413
50,0.454484,0.451670,1.915542,0.200476,-7.502377,1.321979
51,0.519322,0.514563,nan,0.200476,nan,1.454292
52,0.511158,0.507434,1.846593,0.200495,-6.881950,1.453140
53,0.466324,0.463616,nan,0.200495,nan,1.349727
54,0.469738,0.469330,1.910053,0.200513,-6.997811,1.361132
55,0.443331,0.445837,nan,0.200513,nan,1.299823
56,0.521222,0.520970,1.733421,0.200531,-6.340057,1.465607
57,0.547677,0.544994,nan,0.200531,nan,1.515051
58,0.394128,0.391723,2.094952,0.200549,-7.466922,1.207233
59,0.587725,0.584092,nan,0.200549,nan,1.616272
60,0.408396,0.405035,1.872993,0.200567,-5.963943,1.241908
61,0.520718,0.516723,nan,0.200567,nan,1.443158
62,0.518822,0.512783,2.479994,0.200585,-8.678003,1.477621
63,0.484387,0.480959,nan,0.200585,nan,1.391718
64,0.422661,0.416309,2.170535,0.200604,-6.946873,1.268737
65,0.532780,0.524322,nan,0.200604,nan,1.471875
66,0.564884,0.564264,2.218444,0.200622,-7.114970,1.569354
67,0.434898,0.428914,nan,0.200622,nan,1.263876
68,0.384150,0.371574,2.759046,0.200641,-9.418365,1.144946
69,0.492435,0.483350,nan,0.200641,nan,1.414332
70,0.462703,0.456589,2.191248,0.200661,-8.174501,1.342432
71,0.550652,0.543573,nan,0.200661,nan,1.524956
72,0.583881,0.574231,1.980842,0.200680,-6.522540,1.601628
73,0.462526,0.454273,nan,0.200680,nan,1.354989
74,0.518462,0.511498,2.298114,0.200699,-6.923566,1.468300
75,0.415519,0.408400,nan,0.200699,nan,1.245002
76,0.389977,0.380367,1.865866,0.200717,-4.983490,1.175576
77,0.363123,0.357139,nan,0.200717,nan,1.126319
78,0.553150,0.544799,2.651432,0.200736,-9.676922,1.510154
79,0.364682,0.357544,nan,0.200736,nan,1.124690
80,0.443254,0.435329,2.645913,0.200755,-8.741203,1.303756
81,0.424777,0.416054,nan,0.200755,nan,1.278393
82,0.346785,0.330472,2.429804,0.200775,-7.061844,1.066814
83,0.488838,0.476639,nan,0.200775,nan,1.383068
84,0.337491,0.323816,2.869134,0.200795,-9.149124,1.082800
85,0.468325,0.451251,nan,0.200795,nan,1.352059
86,0.500830,0.486609,2.375162,0.200815,-6.692733,1.419998
87,0.457173,0.445697,nan,0.200815,nan,1.309849
88,0.511036,0.500866,2.508478,0.200834,-7.379854,1.448686
89,0.435645,0.427261,nan,0.200834,nan,1.295456
90,0.357714,0.341322,2.984216,0.200854,-8.861278,1.111164
91,0.459311,0.443711,nan,0.200854,nan,1.316796
92,0.429828,0.417443,2.661855,0.200875,-7.367989,1.248165
93,0.377421,0.364533,nan,0.200875,nan,1.164630
94,0.396538,0.385421,2.313341,0.200893,-5.023195,1.186130
95,0.350150,0.343180,nan,0.200893,nan,1.086901
96,0.283586,0.272145,2.451541,0.200911,-5.490035,0.957088
97,0.365635,0.351199,nan,0.200911,nan,1.118145
98,0.349216,0.332833,2.919281,0.200929,-8.274338,1.069315
99,0.364904,0.357865,nan,0.200929,nan,1.101070
100,0.453145,0.447452,2.405676,0.200947,-6.412931,1.305725
101,0.475833,0.474698,nan,0.200947,nan,1.362991
102,0.529265,0.526015,2.370903,0.200964,-5.956195,1.487730
103,0.371474,0.359591,nan,0.200964,nan,1.160819
104,0.293268,0.281618,2.409800,0.200980,-5.765838,0.938288
105,0.386714,0.380373,nan,0.200980,nan,1.180181
106,0.310777,0.298130,2.859979,0.200996,-6.312012,1.007913
107,0.381529,0.370624,nan,0.200996,nan,1.136947
108,0.335650,0.320125,3.208782,0.201012,-7.583670,1.051877
109,0.432389,0.419789,nan,0.201012,nan,1.276336
110,0.363748,0.352457,2.654644,0.201028,-5.935500,1.120741
111,0.350549,0.344578,nan,0.201028,nan,1.087689
112,0.428520,0.430503,2.665617,0.201045,-8.116940,1.251231
113,0.575400,0.596415,nan,0.201045,nan,1.609714
114,0.481536,0.489082,2.225257,0.201062,-6.864115,1.379543
115,0.385088,0.372719,nan,0.201062,nan,1.138683
116,0.452552,0.430289,2.901140,0.201078,-7.487820,1.299229
117,0.424661,0.401166,nan,0.201078,nan,1.244922
118,0.471960,0.472631,2.784821,0.201095,-6.581156,1.350562
119,0.444447,0.406119,nan,0.201095,nan,1.272994
120,0.347466,0.345157,3.520915,0.201113,-7.946680,1.087959
121,0.348938,0.343489,nan,0.201113,nan,1.090039
122,0.456390,0.447122,2.480450,0.201129,-5.612719,1.352287
