update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,1.997775,1.995125,nan,0.200000,nan,4.503964
2,1.458164,1.455585,1.157869,0.200020,-5.742742,3.360891
3,1.573493,1.572452,nan,0.200020,nan,3.649129
4,1.690624,1.691257,0.894610,0.200031,-4.395606,3.890615
5,1.686020,1.688825,nan,0.200031,nan,3.876700
6,1.683238,1.684588,1.776476,0.200045,-8.783850,3.853352
7,1.690538,1.690283,nan,0.200045,nan,3.856153
8,1.684184,1.683312,1.333518,0.200061,-6.542849,3.855002
9,1.691638,1.690586,nan,0.200061,nan,3.885134
10,1.645912,1.643830,1.393540,0.200077,-6.784900,3.775343
11,1.629091,1.627894,nan,0.200077,nan,3.741211
12,1.225131,1.224285,1.484817,0.200095,-7.200230,2.926685
13,1.606932,1.606906,nan,0.200095,nan,3.708788
14,1.461972,1.463038,1.739896,0.200113,-8.432123,3.415757
15,1.729250,1.730623,nan,0.200113,nan,3.944581
16,1.394699,1.394487,1.752348,0.200132,-8.452662,3.282636
17,1.452177,1.452250,nan,0.200132,nan,3.372160
18,1.846161,1.845626,1.771996,0.200151,-8.524320,4.173548
19,1.254975,1.254221,nan,0.200151,nan,2.976395
20,1.339687,1.339702,1.638657,0.200171,-7.839921,3.130380
21,1.421790,1.422244,nan,0.200171,nan,3.333091
22,1.533653,1.533452,1.476303,0.200190,-7.072226,3.558175
23,1.685892,1.685628,nan,0.200190,nan,3.847356
24,1.347376,1.346375,2.062971,0.200210,-9.940762,3.168949
25,1.404723,1.404839,nan,0.200210,nan,3.297140
26,1.996616,1.996713,1.726020,0.200230,-8.147869,4.487064
27,1.371061,1.371996,nan,0.200230,nan,3.233905
28,1.620959,1.622540,1.654030,0.200250,-7.864019,3.692823
29,1.471119,1.471919,nan,0.200250,nan,3.431601
30,1.243599,1.244823,1.667799,0.200270,-7.736653,2.972244
31,1.506270,1.505635,nan,0.200270,nan,3.485048
32,1.422242,1.423263,1.556034,0.200290,-7.218530,3.331491
33,1.269162,1.269880,nan,0.200290,nan,2.989906
34,0.893645,0.894571,1.398715,0.200309,-6.228104,2.237732
35,1.447066,1.447300,nan,0.200309,nan,3.361938
36,1.177547,1.178332,1.979994,0.200328,-9.037387,2.802590
37,1.537408,1.536938,nan,0.200328,nan,3.573238
38,1.516042,1.517463,1.940448,0.200349,-8.872596,3.516485
39,1.241937,1.242201,nan,0.200349,nan,2.962604
40,1.635652,1.635198,1.704654,0.200368,-7.357429,3.741910
41,1.466278,1.469586,nan,0.200368,nan,3.414936
42,1.682502,1.685846,1.764715,0.200388,-7.800453,3.843194
43,1.427372,1.429607,nan,0.200388,nan,3.311526
44,1.342258,1.344187,1.462381,0.200407,-6.141030,3.145681
45,1.337897,1.337689,nan,0.200407,nan,3.130979
46,1.488674,1.486846,1.892221,0.200426,-7.589587,3.460621
47,1.232975,1.232258,nan,0.200426,nan,2.920327
48,1.149419,1.148738,1.399817,0.200444,-6.104473,2.772345
49,1.524974,1.528931,nan,0.200444,nan,3.502158
50,1.530664,1.535012,1.807416,0.200462,-6.841544,3.545645
51,1.187485,1.189067,nan,0.200462,nan,2.849278
52,1.436877,1.436047,2.238973,0.200481,-9.006676,3.361047
53,1.132481,1.130729,nan,0.200481,nan,2.727737
54,1.153651,1.153863,2.360371,0.200501,-9.472942,2.763039
55,1.221847,1.220542,nan,0.200501,nan,2.919122
56,1.349640,1.346944,1.730483,0.200520,-6.857883,3.164787
57,1.220701,1.220196,nan,0.200520,nan,2.895951
58,1.400312,1.401754,2.114232,0.200539,-8.274231,3.280524
59,1.249559,1.248915,nan,0.200539,nan,2.983234
60,1.387389,1.385301,2.699535,0.200560,-9.930563,3.239178
61,1.232641,1.231477,nan,0.200560,nan,2.943964
62,1.284936,1.283051,1.718090,0.200579,-6.169432,3.031380
63,1.232929,1.233361,nan,0.200579,nan,2.939398
64,1.205738,1.203124,1.993363,0.200598,-6.800585,2.886466
65,1.122690,1.122175,nan,0.200598,nan,2.685283
