date,portfolio_return,qqq_return
2022-01-10,0.00000000,-0.05369948
2022-01-18,-0.03069159,-0.02515061
2022-01-24,-0.02849952,-0.04655242
2022-01-31,0.02673948,0.02759694
2022-02-07,-0.01813561,-0.02181513
2022-02-14,0.03124933,-0.02151329
2022-02-22,-0.04073176,-0.02707993
2022-02-28,0.02265268,0.02579272
2022-03-07,-0.07057614,-0.06326414
2022-03-14,-0.02745230,-0.02059340
2022-03-21,0.21123070,0.10029221
2022-03-28,0.02027751,0.04236180
2022-04-04,0.01826035,0.01203032
2022-04-11,-0.04645282,-0.07692926
2022-04-18,-0.00566995,-0.00645373
2022-04-25,-0.03955936,-0.02689780
2022-05-02,-0.02700404,-0.03367916
2022-05-09,-0.07808942,-0.06697443
2022-05-16,0.01867247,0.00434127
2022-05-23,-0.00664135,-0.01661973
2022-05-31,0.08756524,0.05042929
2022-06-06,0.01088575,-0.00343842
2022-06-13,-0.10100439,-0.10354143
2022-06-21,0.00943414,0.02058743
2022-06-27,0.05291905,0.04045121
2022-07-05,0.24738795,-0.01877251
2022-07-11,0.00521739,0.00724846
2022-07-18,0.00061393,0.00124545
2022-07-25,0.04259416,0.03756045
2022-08-01,0.03859837,0.04995504
2022-08-08,0.02806956,0.01725506
2022-08-15,0.02062307,0.03850833
2022-08-22,-0.07124509,-0.05614608
2022-08-29,-0.02299390,-0.03165155
2022-09-06,-0.04507213,-0.03731814
2022-09-12,0.06830905,0.06036514
2022-09-19,-0.06552983,-0.06336488
2022-09-26,-0.06505945,-0.05730972
2022-10-03,0.02085977,-0.00306155
2022-10-10,-0.02822309,-0.02603003
2022-10-17,0.00240866,0.01103563
2022-10-24,-0.01931797,0.03378506
2022-10-31,0.03378797,-0.00179565
2022-11-07,-0.02586945,-0.03727295
2022-11-14,0.08870823,0.06670655
2022-11-21,-0.02642972,-0.01243690
2022-11-28,-0.00000120,0.00290885
2022-12-05,0.01843446,0.01743845
2022-12-12,0.00173486,-0.00716183
2022-12-19,-0.04733956,-0.05543101
2022-12-27,-0.01513305,-0.02287308
2023-01-03,-0.05501527,0.00341462
2023-01-09,0.01509391,0.02291288
2023-01-17,0.03414407,0.04065942
2023-01-23,0.02247485,0.02635499
2023-01-30,-0.01532742,0.00453349
2023-02-06,0.01210776,0.04588834
2023-02-13,0.00452051,0.00299748
2023-02-21,-0.02990086,-0.03438424
2023-02-27,-0.00598817,-0.00030608
2023-03-06,0.02154079,0.02068445
2023-03-13,-0.04167350,-0.03109788
2023-03-20,0.02448764,0.05256458
2023-03-27,0.00241276,0.00911857
2023-04-03,0.03994537,0.03688944
2023-04-10,-0.00665582,-0.00712166
2023-04-17,0.00791541,0.00305157
2023-04-24,0.00160602,-0.00906406
2023-05-01,-0.02596314,0.01974993
2023-05-08,-0.00220535,0.00465564
2023-05-15,0.00897513,0.00957708
2023-05-22,0.01673186,0.03320177
2023-05-30,0.00749403,0.03654779
2023-06-05,0.01611089,0.01405790
2023-06-12,0.01068142,0.01575091
2023-06-20,0.00798337,0.01778136
2023-06-26,-0.01707524,-0.02512947
2023-07-03,0.00694930,0.03525502
2023-07-10,-0.00136082,-0.01061337
2023-07-17,0.03303356,0.04435528
2023-07-24,-0.00273038,-0.01667488
2023-07-31,0.02294019,0.01980167
2023-08-07,-0.02224016,-0.02212779
2023-08-14,-0.00660428,-0.01290012
2023-08-21,-0.02323273,-0.01741599
2023-08-28,-0.01167692,0.00785935
2023-09-05,0.02155375,0.03083760
2023-09-11,-0.00139478,-0.00290953
2023-09-18,-0.01049585,-0.01673873
2023-09-25,-0.03248074,-0.02981174
2023-10-02,0.01072465,0.00458837
2023-10-09,0.00397129,0.01467084
2023-10-16,0.22160454,0.00777501
2023-10-23,-0.04515722,-0.03719442
2023-10-30,-0.03228983,-0.01819102
2023-11-06,0.04546721,0.05730234
2023-11-13,0.01232668,0.02166789
2023-11-20,0.04390736,0.03586861
2023-11-27,-0.00205376,-0.00401796
2023-12-04,0.01064380,-0.00732329
2023-12-11,0.02513940,0.02381441
2023-12-18,0.03954626,0.02922734
2023-12-26,0.01833691,0.00933482
