date,portfolio_return,qqq_return
2012-01-09,0.00000000,0.01265373
2012-01-17,0.01812815,0.01891705
2012-01-23,0.02427546,0.01839553
2012-01-30,0.00310594,0.01103863
2012-02-06,0.02721528,0.02564101
2012-02-13,0.00588382,0.01693547
2012-02-21,0.00431245,0.00888186
2012-02-27,0.00382841,0.00691719
2012-03-05,0.00350648,0.00234182
2012-03-12,0.00914548,0.01323997
2012-03-19,0.02208572,0.02982313
2012-03-26,0.01633586,0.01671895
2012-04-02,0.00102527,0.00205549
2012-04-09,-0.03674562,-0.01523811
2012-04-16,-0.00829938,-0.02618661
2012-04-23,-0.00264239,-0.00565310
2012-04-30,0.02700591,0.02581439
2012-05-07,-0.03549775,-0.02995806
2012-05-14,-0.03086678,-0.01822113
2012-05-21,-0.04739235,-0.01682925
2012-05-29,0.01403731,0.00559914
2012-06-04,-0.06352975,-0.03165768
2012-06-11,0.01612109,0.01544279
2012-06-18,0.06043724,0.02863615
2012-06-25,-0.01221772,-0.02280593
2012-07-02,0.05597751,0.03573149
2012-07-09,0.00639041,-0.00543898
2012-07-16,-0.06317370,-0.01249999
2012-07-23,-0.00157684,0.00411390
2012-07-30,0.03177757,0.02143083
2012-08-06,0.04601478,0.01974697
2012-08-13,0.04171969,0.01391828
2012-08-20,0.00609657,0.02088931
2012-08-27,-0.00009510,-0.00029226
2012-09-04,-0.00806100,-0.00453224
2012-09-10,0.01264644,0.00660897
2012-09-17,0.01267293,0.02436531
2012-09-24,0.00196774,-0.00669422
2012-10-01,-0.01212591,-0.01821045
2012-10-08,0.00303560,-0.00175263
2012-10-15,-0.04621464,-0.01726409
2012-10-22,-0.01825122,-0.01712076
2012-11-05,0.01150070,-0.00636168
2012-11-12,-0.02698132,-0.03323171
2012-11-19,0.01463648,0.00567645
2012-11-26,0.02453689,0.02195048
2012-12-03,0.00228125,0.00751761
2012-12-10,0.00366417,-0.00837514
2012-12-17,0.01110570,0.00660320
2012-12-24,-0.00021263,-0.00732271
2012-12-31,0.09784772,0.00092205
2013-01-07,0.02315446,0.02333801
2013-01-14,-0.00074040,0.00465113
2013-01-22,0.01684120,0.00328556
2013-01-28,0.01979298,-0.00044654
2013-02-04,-0.01392724,-0.00997763
2013-02-11,0.01791681,0.02301442
2013-02-19,0.01041118,0.00338179
2013-02-25,-0.03713886,-0.02828254
2013-03-04,0.02724474,0.02066058
2013-03-11,0.02684804,0.01906030
2013-03-18,-0.00100453,-0.00884443
2013-03-25,0.00519322,-0.00029263
2013-04-01,-0.00712027,0.00234129
2013-04-08,-0.00477824,-0.00408757
2013-04-15,-0.00119973,0.00498382
2013-04-22,-0.00573967,0.00335477
2013-04-29,0.03245854,0.02064251
2013-05-06,0.01884453,0.03119217
2013-05-13,0.01134220,0.01022096
2013-05-20,0.01505234,0.01435607
2013-05-28,-0.00648297,-0.00404371
2013-06-03,-0.01218525,-0.00690218
2013-06-10,-0.00049656,0.00054512
2013-06-17,-0.00823149,-0.00599285
2013-06-24,-0.03941118,-0.04453275
2013-07-01,0.01802558,0.02839518
2013-07-08,0.01067316,0.01310839
2013-07-15,0.05478921,0.03881624
2013-07-22,0.00867777,-0.00874525
2013-07-29,0.00020425,0.00561430
2013-08-05,0.02460869,0.02379361
2013-08-12,-0.01230775,-0.00454425
2013-08-19,-0.03159641,-0.01721664
2013-08-26,0.02368169,0.01804911
2013-09-03,-0.00778946,-0.01055922
2013-09-09,0.02780655,0.02542820
2013-09-16,0.02238577,0.00025693
2013-09-23,0.00300136,0.01258835
2013-09-30,-0.00087973,0.00063422
2013-10-07,0.00310886,-0.00177484
2013-10-14,0.01006856,0.01333507
2013-10-21,0.01991465,0.03183357
2013-10-28,-0.00218042,0.00716624
2013-11-04,-0.00175521,0.00012062
2013-11-11,0.00024410,-0.00627031
2013-11-18,0.01143363,0.00885810
2013-11-25,-0.00482637,0.01262934
2013-12-02,0.00043868,0.01532250
2013-12-09,0.00540889,0.01017776
2013-12-16,-0.00309748,-0.01192819
2013-12-23,0.02527462,0.02449606
2013-12-30,0.00632228,-0.00022886
