update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,0.928433,0.931200,nan,0.200000,nan,2.306768
2,1.113607,1.115506,1.388809,0.200020,-6.870578,2.713435
3,1.136001,1.136249,nan,0.200020,nan,2.745036
4,0.641069,0.639843,1.628837,0.200040,-8.015059,1.718247
5,0.949271,0.945951,nan,0.200040,nan,2.392803
6,1.295327,1.292603,1.156908,0.200058,-5.663717,3.082837
7,1.224234,1.222746,nan,0.200058,nan,2.946163
8,1.196978,1.196691,1.001320,0.200074,-4.878386,2.852273
9,1.202499,1.203377,nan,0.200074,nan,2.858916
10,1.083329,1.084346,1.515466,0.200091,-7.418560,2.630903
11,1.048038,1.048797,nan,0.200091,nan,2.566804
12,1.179150,1.179358,1.489434,0.200109,-7.226192,2.838391
13,0.964644,0.963984,nan,0.200109,nan,2.386518
14,0.907366,0.907282,1.583039,0.200128,-7.722910,2.302866
15,1.032510,1.032190,nan,0.200128,nan,2.546172
16,0.804795,0.804981,1.205336,0.200145,-5.667616,2.047143
17,0.939981,0.940381,nan,0.200145,nan,2.323281
18,0.898360,0.899444,1.630485,0.200164,-7.818027,2.251185
19,1.058013,1.058324,nan,0.200164,nan,2.565270
20,1.033717,1.033246,1.779602,0.200183,-8.545300,2.527025
21,0.762572,0.762530,nan,0.200183,nan,1.967360
22,0.881415,0.881875,1.755388,0.200203,-8.359986,2.217932
23,0.926594,0.926487,nan,0.200203,nan,2.286892
24,1.018139,1.018331,1.377176,0.200222,-6.268912,2.490137
25,0.765041,0.765195,nan,0.200222,nan,1.989494
26,1.057234,1.056282,1.539915,0.200241,-7.159467,2.559147
27,0.975353,0.975058,nan,0.200241,nan,2.424003
28,0.838226,0.839214,1.727028,0.200261,-7.954073,2.127150
29,0.959582,0.962144,nan,0.200261,nan,2.389009
30,0.853039,0.854677,1.510394,0.200280,-7.101098,2.146199
31,0.846231,0.848138,nan,0.200280,nan,2.157587
32,0.984730,0.984443,1.879716,0.200300,-8.666287,2.416688
33,1.153276,1.154241,nan,0.200300,nan,2.789870
34,0.748922,0.749696,1.694659,0.200320,-7.422865,1.969142
35,0.724015,0.724473,nan,0.200320,nan,1.906746
36,1.146196,1.145561,1.369679,0.200339,-5.227550,2.746508
37,0.916100,0.916318,nan,0.200339,nan,2.302145
38,0.637834,0.639188,1.944572,0.200358,-8.292047,1.726024
39,0.943043,0.944502,nan,0.200358,nan,2.356250
40,0.696289,0.700510,1.731746,0.200378,-7.620956,1.845543
41,0.862763,0.864287,nan,0.200378,nan,2.185409
42,0.935707,0.938610,1.850513,0.200397,-7.398925,2.340387
43,0.790705,0.792859,nan,0.200397,nan,2.016633
44,0.769529,0.775293,1.716726,0.200417,-7.275279,1.981129
45,0.770065,0.773834,nan,0.200417,nan,1.974790
46,0.824225,0.824749,1.986641,0.200436,-7.742638,2.123641
47,0.988245,0.990315,nan,0.200436,nan,2.445689
48,0.973083,0.982849,1.808041,0.200456,-6.713483,2.404187
49,1.126664,1.138040,nan,0.200456,nan,2.715763
50,0.723487,0.721670,2.078638,0.200476,-8.299759,1.890934
51,1.027308,1.031691,nan,0.200476,nan,2.523583
52,0.737990,0.738881,1.996279,0.200496,-7.631289,1.927173
53,0.884765,0.883659,nan,0.200496,nan,2.211023
54,0.830176,0.842479,1.928180,0.200515,-6.196570,2.125750
55,0.702064,0.705569,nan,0.200515,nan,1.833442
56,0.701423,0.699516,2.349476,0.200535,-8.222426,1.870252
57,0.739256,0.748172,nan,0.200535,nan,1.924281
58,0.671606,0.675075,1.887722,0.200554,-6.065576,1.773431
59,0.688868,0.691975,nan,0.200554,nan,1.814112
60,0.591963,0.597846,2.650516,0.200574,-8.595002,1.604385
61,0.653841,0.648332,nan,0.200574,nan,1.748521
62,0.819687,0.814843,2.744408,0.200594,-8.385968,2.077208
63,0.788973,0.790410,nan,0.200594,nan,2.008980
64,0.680600,0.688192,2.752752,0.200614,-8.078362,1.804055
65,0.478307,0.476905,nan,0.200614,nan,1.362781
66,0.630918,0.626494,2.602788,0.200634,-6.869685,1.693562
67,0.711339,0.710473,nan,0.200634,nan,1.844945
68,0.779521,0.783051,2.560763,0.200654,-6.975208,2.005381
69,0.841325,0.862576,nan,0.200654,nan,2.132101
70,0.573422,0.566309,3.223007,0.200674,-7.954306,1.563499
71,0.695388,0.688518,nan,0.200674,nan,1.809670
72,0.627637,0.618552,2.540296,0.200693,-5.961586,1.698418
73,0.702971,0.694026,nan,0.200693,nan,1.838832
74,0.857721,0.846964,3.205626,0.200713,-7.498132,2.158239
75,0.613440,0.605167,nan,0.200713,nan,1.642873
76,0.518195,0.515142,2.286386,0.200731,-5.086153,1.468735
77,0.802718,0.791302,nan,0.200731,nan,2.046052
78,0.723400,0.716603,2.547918,0.200748,-5.868505,1.887621
79,0.582842,0.578719,nan,0.200748,nan,1.565281
80,0.529476,0.532488,2.551239,0.200765,-6.483209,1.466590
81,0.583155,0.575865,nan,0.200765,nan,1.602145
82,0.495624,0.496454,2.176885,0.200781,-4.832295,1.372062
83,0.658830,0.659547,nan,0.200781,nan,1.731023
84,0.709992,0.711179,3.084763,0.200798,-8.654896,1.870092
85,0.760854,0.754289,nan,0.200798,nan,1.967219
86,0.415932,0.404722,2.731729,0.200815,-8.092005,1.229403
87,0.589351,0.584557,nan,0.200815,nan,1.596703
88,0.676883,0.670600,2.460253,0.200833,-6.974942,1.785071
89,0.474512,0.462315,nan,0.200833,nan,1.380184
90,0.723908,0.710186,2.423521,0.200850,-6.069023,1.898186
91,0.571378,0.566628,nan,0.200850,nan,1.588123
92,0.577271,0.571866,2.610419,0.200867,-6.326904,1.587326
