update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
12832,0.884189,1.226027,-20.888588,0.090986,49.732002,2.210955
12833,0.774335,0.744292,nan,0.090986,nan,2.007395
12834,0.877609,0.924890,-22.285927,0.090975,50.891823,2.219040
12835,0.519434,0.558667,nan,0.090975,nan,1.481036
12836,0.927844,0.920336,-21.627312,0.090965,50.605343,2.338188
12837,0.702601,0.719247,nan,0.090965,nan,1.880507
12838,0.760246,0.851058,-22.913956,0.090954,52.131287,1.980414
12839,1.003648,1.056207,nan,0.090954,nan,2.523890
12840,0.921265,0.911620,-22.936874,0.090943,51.488304,2.344455
12841,0.526352,0.585954,nan,0.090943,nan,1.497310
12842,0.825533,0.783215,-20.338198,0.090933,48.955921,2.124084
12843,0.839160,0.937029,nan,0.090933,nan,2.190961
12844,1.094769,1.040069,-21.875481,0.090922,50.839989,2.699093
12845,1.020761,0.958823,nan,0.090922,nan,2.551081
12846,0.832486,0.740955,-21.716034,0.090911,51.916107,2.200680
12847,0.814085,0.791691,nan,0.090911,nan,2.131097
12848,0.829756,0.702135,-22.086117,0.090901,48.952106,2.185830
12849,0.753519,0.684355,nan,0.090901,nan,1.996840
12850,0.598851,0.599784,-22.121904,0.090890,48.093590,1.663444
12851,0.676553,0.629670,nan,0.090890,nan,1.830087
12852,0.848085,0.781949,-22.487972,0.090879,49.387886,2.191720
12853,0.917077,0.929805,nan,0.090879,nan,2.319194
12854,1.124285,1.258817,-21.790827,0.090869,49.904541,2.711950
12855,0.708217,0.702305,nan,0.090869,nan,1.860488
12856,0.781648,0.886727,-22.900320,0.090858,50.808994,2.027278
12857,0.815272,0.983491,nan,0.090858,nan,2.103890
12858,0.713773,0.826471,-20.874208,0.090847,52.394081,1.869439
12859,0.669237,1.027000,nan,0.090847,nan,1.813352
12860,0.706288,0.881693,-22.601171,0.090837,50.673107,1.889114
12861,1.050039,0.953739,nan,0.090837,nan,2.615805
12862,0.733190,0.734840,-22.245865,0.090826,49.358307,1.954456
12863,0.822119,0.862598,nan,0.090826,nan,2.158864
12864,0.920997,0.880346,-22.316925,0.090815,52.003338,2.371547
12865,0.739407,0.765032,nan,0.090815,nan,1.976970
12866,0.677610,0.650253,-22.348083,0.090805,49.001858,1.847725
12867,1.074481,1.066416,nan,0.090805,nan,2.666307
12868,0.802100,0.825328,-23.475967,0.090794,51.497303,2.058852
12869,0.718492,0.765365,nan,0.090794,nan,1.933103
12870,0.736873,0.726626,-23.446651,0.090783,49.973274,1.985403
12871,0.886528,0.903134,nan,0.090783,nan,2.306673
12872,0.764973,0.751977,-21.803070,0.090773,49.127842,2.123723
12873,0.669411,0.829179,nan,0.090773,nan,1.917147
12874,0.826371,0.830049,-22.208897,0.090762,49.069656,2.187654
12875,0.668746,0.692855,nan,0.090762,nan,1.818585
