date,portfolio_return,qqq_return
2016-01-11,0.00000000,-0.04721460
2016-01-19,-0.04415404,-0.03134289
2016-01-25,0.00400348,0.01157734
2016-02-01,0.02568098,0.02132447
2016-02-08,-0.05767082,-0.07460972
2016-02-16,0.03946126,0.03736287
2016-02-22,0.04621690,0.03042996
2016-02-29,-0.00134223,-0.00755227
2016-03-07,0.04145633,0.02458533
2016-03-14,0.00348598,0.01571131
2016-03-21,0.01322370,0.01049970
2016-03-28,-0.01329195,-0.00630857
2016-04-04,0.01938783,0.02642145
2016-04-11,-0.01339600,-0.01218850
2016-04-18,0.00733799,0.02421736
2016-04-25,-0.01059533,-0.02022836
2016-05-02,-0.02450495,-0.02073777
2016-05-09,-0.01436938,-0.00787110
2016-05-16,-0.15532772,0.00887800
2016-05-23,0.00664039,-0.00458714
2016-05-31,0.03686337,0.03771273
2016-06-06,0.00181282,0.00108757
2016-06-13,-0.02916696,-0.02199892
2016-06-20,0.01088607,-0.00805327
2016-06-27,-0.06586506,-0.04609931
2016-07-05,0.06920778,0.05087064
2016-07-11,0.03953706,0.03267550
2016-07-18,0.02415058,0.01451366
2016-07-25,0.01367903,0.00995204
2016-08-01,0.00788113,0.01917995
2016-08-08,0.00738379,0.00699245
2016-08-15,0.02239230,0.00900125
2016-08-22,0.04098722,-0.00297365
2016-08-29,-0.00124782,-0.00349379
2016-09-06,0.00473806,0.00778173
2016-09-12,-0.00981823,-0.01289772
2016-09-19,0.00065014,0.00386828
2016-09-26,0.00460534,0.00479532
2016-10-03,0.01707067,0.01031197
2016-10-10,-0.00093324,0.00565161
2016-10-17,-0.02819231,-0.02013086
2016-10-24,0.02234762,0.02354049
2016-10-31,-0.17200670,-0.02157733
2016-11-07,-0.00992909,-0.00547055
2016-11-14,0.02444638,-0.01478299
2016-11-21,0.03179616,0.03410978
2016-11-28,-0.00164069,-0.00008438
2016-12-05,-0.01914803,-0.01628280
2016-12-12,0.01455354,0.02024014
2016-12-19,0.01029263,0.00949897
2016-12-27,0.00668841,0.00607880
2017-01-03,0.21682738,-0.01059426
2017-01-09,0.02417964,0.02333948
2017-01-17,0.00604023,0.00376031
2017-01-23,0.00552411,0.00456061
2017-01-30,0.01779849,0.01191732
2017-02-06,0.00361468,0.00809167
2017-02-13,0.02041801,0.01804025
2017-02-21,0.01452387,0.01834497
2017-02-27,-0.00100674,-0.00022996
2017-03-06,0.01069143,0.00237692
2017-03-13,0.01116459,0.00673147
2017-03-20,0.00103781,0.00151962
2017-03-27,-0.00355110,-0.00735909
2017-04-03,0.00266440,0.01115872
2017-04-10,-0.00021460,-0.00211639
2017-04-17,-0.00616895,-0.00409035
2017-04-24,0.02004207,0.02038339
2017-05-01,0.01691845,0.02265946
2017-05-08,0.00168370,0.00466472
2017-05-15,-0.00274770,0.00870572
2017-05-22,0.00394297,-0.00028764
2017-05-30,0.01054777,0.01683451
2017-06-05,0.01654278,0.01478701
2017-06-12,-0.02381828,-0.02928256
2017-06-19,-0.15865552,0.00883438
2017-06-26,0.00403630,0.00085430
2017-07-03,0.03151279,-0.03122777
2017-07-10,0.01648554,0.01813644
2017-07-17,0.01789183,0.02545795
2017-07-24,0.01568460,0.01814475
2017-07-31,-0.00192924,-0.01063762
2017-08-07,-0.00331885,0.00928578
2017-08-14,-0.02881625,-0.00435809
2017-08-21,-0.02183947,-0.02000966
2017-08-28,0.00865371,0.00964197
2017-09-05,0.01989035,0.01601010
2017-09-11,0.01107625,0.00815532
2017-09-18,0.00319643,-0.00219368
2017-09-25,-0.01049836,-0.01889385
2017-10-02,0.01687126,0.01946778
2017-10-09,0.01266751,0.01311996
2017-10-16,0.00269626,0.00922097
2017-10-23,-0.00097720,-0.00745718
2017-10-30,-0.00980302,0.02599158
2017-11-06,0.00500188,0.01457970
2017-11-13,-0.01714583,0.00052020
2017-11-20,0.01307589,-0.00025992
2017-11-27,0.00425672,0.01534161
2017-12-04,-0.00542160,-0.02228053
2017-12-11,0.00873355,0.02088918
2017-12-18,0.02427211,0.01757540
2017-12-26,-0.00407224,-0.01336356
