date,portfolio_return,qqq_return
2014-01-13,0.00000000,-0.00359126
2014-01-21,0.03640828,0.02953146
2014-01-27,-0.02718290,-0.02992661
2014-02-03,-0.02316431,-0.01874273
2014-02-10,0.06799090,0.04164198
2014-02-18,0.04678814,0.02790429
2014-02-24,0.01671213,0.00177289
2014-03-03,0.00094625,-0.00818500
2014-03-10,0.00892339,0.01048291
2014-03-17,-0.00931266,-0.01280216
2014-03-24,-0.01696979,-0.01375065
2014-03-31,-0.00131372,-0.00623445
2014-04-07,-0.02628027,-0.02418153
2014-04-14,-0.01618719,-0.00911755
2014-04-21,0.04546522,0.02441901
2014-04-28,-0.03485741,-0.00426065
2014-05-05,0.01171555,0.01711571
2014-05-12,0.01165415,0.00318370
2014-05-19,-0.01097328,0.00102002
2014-05-27,0.02929993,0.03034421
2014-06-02,0.00754921,0.00241760
2014-06-09,0.02465795,0.01677262
2014-06-16,-0.01548074,-0.00377357
2014-06-23,0.01406661,0.00422077
2014-06-30,0.80227739,0.01207030
2014-07-07,0.01599186,0.01597274
2014-07-14,-0.00330162,0.00450679
2014-07-21,-0.01359953,0.00166949
2014-07-28,0.00948647,0.00802080
2014-08-04,-0.01301987,-0.01498395
2014-08-11,0.00319491,0.00146873
2014-08-18,0.02626102,0.02817937
2014-08-25,0.00941176,0.01273561
2014-09-02,0.00483263,0.00674042
2014-09-08,0.00791447,0.00009995
2014-09-15,-0.02472497,-0.01558758
2014-09-22,-0.00550931,0.00537968
2014-09-29,-0.02259789,-0.00403838
2014-10-06,-0.02097638,-0.00699445
2014-10-13,-0.07450366,-0.05104124
2014-10-20,0.02986214,0.01538296
2014-10-27,0.04395634,0.04555571
2014-11-03,0.02491829,0.03049949
2014-11-10,-0.02075044,0.00255656
2014-11-17,-0.00845887,0.00931742
2014-11-24,0.02611874,0.01719946
2014-12-01,-0.02980585,0.00124185
2014-12-08,0.00963853,-0.00171740
2014-12-15,-0.02698590,-0.02886358
2014-12-22,0.04334048,0.02922942
2014-12-29,0.01078772,0.00420726
2015-01-05,1.11225188,-0.03418393
2015-01-12,-0.00835341,0.00118311
2015-01-20,-0.02004170,0.00068931
2015-01-26,0.02521470,0.02479823
2015-02-02,-0.02750788,-0.02074127
2015-02-09,0.01631353,0.00804079
2015-02-17,0.04054050,0.04095330
2015-02-23,0.00996024,0.01411078
2015-03-02,0.01528426,0.00792481
2015-03-09,-0.01180792,-0.01517641
2015-03-16,-0.00094293,-0.00946903
2015-03-23,0.00896518,0.01518278
2015-03-30,-0.02100850,-0.01467870
2015-04-06,-0.00679522,-0.00702708
2015-04-13,0.01209149,0.01415361
2015-04-20,-0.00441637,0.00111644
2015-04-27,0.01447529,0.02472122
2015-05-04,-0.01979272,-0.00934155
2015-05-11,13.46997070,-0.00878886
2015-05-18,2.63836718,0.01653275
2015-05-26,-0.01343101,-0.00781393
2015-06-01,0.00877545,0.01117217
2015-06-08,16.79748726,-0.02019558
2015-06-15,2.20142698,0.00018483
2015-06-22,0.01776674,0.02301079
2015-06-29,-0.05537426,-0.03622398
2015-07-06,-0.02124893,0.00946663
2015-07-13,-0.00061593,0.01708453
2015-07-20,0.02471134,0.04053316
2015-07-27,-0.12405440,-0.03333921
2015-08-03,0.02306038,0.01288798
2015-08-10,0.00030205,-0.00026881
2015-08-17,-0.00626494,-0.00125481
2015-08-24,-0.10019299,-0.11639595
2015-08-31,0.06132134,0.05941498
2015-09-08,0.01337882,0.00699840
2015-09-14,-0.00444352,0.00199923
2015-09-21,-0.00460864,0.00408551
2015-09-28,-0.06136219,-0.05384181
2015-10-05,0.05441815,0.05510553
2015-10-12,0.01222450,0.01222750
2015-10-19,0.01841560,0.01826011
2015-10-26,0.00399437,0.03779659
2015-11-02,-0.00417018,0.01559594
2015-11-09,-0.00783292,-0.00907426
2015-11-16,-0.01571345,-0.01893107
2015-11-23,14.04046726,0.02450192
2015-11-30,0.01870327,-0.00113890
2015-12-07,0.00539572,0.00526229
2015-12-14,-0.03546798,-0.02608625
2015-12-21,0.01502917,-0.00519568
2015-12-28,0.00968996,0.01332729
