date,portfolio_return,qqq_return
2010-01-11,0.00000000,-0.00129249
2010-01-19,-0.00484002,0.00496116
2010-01-25,-0.03355771,-0.04893751
2010-02-01,-0.00881835,-0.02369675
2010-02-08,-0.01622880,-0.01363847
2010-02-16,0.04291441,0.03866889
2010-02-22,0.00452527,0.00947658
2010-03-01,0.01440786,0.01497537
2010-03-08,0.00312531,0.02466415
2010-03-15,0.00978221,0.01525904
2010-03-22,0.02363379,0.01439451
2010-03-29,-0.01498083,0.00646914
2010-04-05,0.01148221,0.00787894
2010-04-12,0.01238704,0.00946305
2010-04-19,0.00087937,0.00876300
2010-04-26,0.01356281,0.01838384
2010-05-03,-0.01445031,-0.00952191
2010-05-10,-0.04182943,-0.04326056
2010-05-17,-0.02068925,-0.01444418
2010-05-24,-0.04954455,-0.05140191
2010-06-01,0.00999133,0.01164354
2010-06-07,-0.02085614,-0.02014165
2010-06-14,0.03303578,0.02755819
2010-06-21,0.01323684,0.02440090
2010-06-28,-0.03858330,-0.03197420
2010-07-06,-0.05295146,-0.05564181
2010-07-12,0.05138650,0.05046952
2010-07-19,0.00435631,-0.00067036
2010-07-26,0.04371887,0.03846148
2010-08-02,-0.00081271,0.00495262
2010-08-09,0.00604112,0.00878517
2010-08-16,-0.04605654,-0.04842826
2010-08-23,0.00674699,-0.00714285
2010-08-30,-0.02116364,-0.01955933
2010-09-07,0.03673430,0.04792479
2010-09-13,0.02734459,0.03391683
2010-09-20,0.02887810,0.03343919
2010-09-27,0.00921277,0.01146831
2010-10-04,-0.00940649,-0.01842478
2010-10-11,0.01049621,0.02660893
2010-10-18,0.01010610,0.03074139
2010-10-25,0.01601217,0.01150098
2010-11-01,-0.01830500,0.00635964
2010-11-08,0.02555986,0.02910763
2010-11-15,-0.01515328,-0.02660961
2010-11-22,0.01927129,0.01147005
2010-11-29,0.00288857,-0.00340201
2010-12-06,0.01823511,0.02124026
2010-12-13,0.01114250,0.00835656
2010-12-20,0.01179523,0.00478825
2010-12-27,0.01312032,0.00384896
2011-01-03,2.53361416,0.00985943
2011-01-10,0.00375245,0.01392154
2011-01-18,0.02814018,0.01925817
2011-01-24,0.00454660,-0.01242126
2011-01-31,-0.01707024,-0.00797167
2011-02-07,0.02771606,0.02946431
2011-02-14,-0.00291812,0.01613183
2011-02-22,-0.02289964,-0.02645959
2011-02-28,0.01922800,0.01297566
2011-03-07,-0.00066563,-0.01003984
2011-03-14,-0.02729629,-0.01573698
2011-03-21,0.00898216,-0.01403448
2011-03-28,0.01615943,0.01855854
2011-04-04,0.02650752,0.01309042
2011-04-11,1.58755267,-0.00890522
2011-04-18,-0.00759462,-0.00898517
2011-04-25,0.03438133,0.03982225
2011-05-02,0.02140631,0.00820652
2011-05-09,0.00645879,-0.00474822
2011-05-16,-0.01304861,-0.02197985
2011-05-23,-0.00369253,-0.00836243
2011-05-31,1.01677668,0.02529871
2011-06-06,-0.04437388,-0.04232353
2011-06-13,-0.01024630,-0.02236536
2011-06-20,-0.01362014,-0.01043191
2011-06-27,0.02278672,0.02182357
2011-07-05,1.06892109,0.05339368
2011-07-11,-0.00928199,-0.00412374
2011-07-18,-0.04252030,-0.00724635
2011-07-25,0.02645232,0.03371565
2011-08-01,-0.03880105,-0.02942165
2011-08-08,-0.12255244,-0.12367919
2011-08-15,0.07340844,0.07452066
2011-08-22,-0.09175530,-0.07634293
2011-08-29,0.07560293,0.08763198
2011-09-06,-0.02542438,-0.02417139
2011-09-12,0.02166230,0.01069618
2011-09-19,0.03648794,0.05105830
2011-09-26,-0.03050274,-0.03232648
2011-10-03,-0.05562835,-0.06644760
2011-10-10,0.10340359,0.09385998
2011-10-17,1.37001204,0.02395424
2011-10-24,0.04138026,0.02112435
2011-10-31,0.00684841,-0.00923236
2011-11-07,0.00288619,0.00448660
2011-11-14,-0.01076672,-0.01236896
2011-11-21,-0.05111079,-0.05479216
2011-11-28,0.00219016,0.00699303
2011-12-05,0.04851729,0.04605264
2011-12-12,-0.02424950,-0.01502447
2011-12-19,-0.04199477,-0.03653780
2011-12-27,0.04653617,0.03534613
