update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,0.918558,0.921222,nan,0.200000,nan,2.286944
2,1.107894,1.109702,1.388371,0.200020,-6.870578,2.702025
3,1.132733,1.132948,nan,0.200020,nan,2.738141
4,0.634739,0.633499,1.628309,0.200040,-8.015059,1.704072
5,0.939522,0.936155,nan,0.200040,nan,2.372948
6,1.288308,1.285499,1.155982,0.200058,-5.663717,3.067214
7,1.214392,1.212843,nan,0.200058,nan,2.925949
8,1.188576,1.188140,1.000268,0.200074,-4.878386,2.832869
9,1.194442,1.195098,nan,0.200074,nan,2.841697
10,1.075482,1.076288,1.514168,0.200091,-7.418560,2.612005
11,1.039875,1.040463,nan,0.200091,nan,2.549618
12,1.167757,1.168039,1.487772,0.200109,-7.226192,2.813965
13,0.958240,0.957740,nan,0.200109,nan,2.372084
14,0.899833,0.899858,1.580911,0.200128,-7.722910,2.287911
15,1.025927,1.025778,nan,0.200128,nan,2.534009
16,0.796991,0.797098,1.203141,0.200145,-5.667616,2.031852
17,0.934100,0.934317,nan,0.200145,nan,2.312277
18,0.891137,0.892028,1.627840,0.200164,-7.818027,2.237494
19,1.049435,1.049724,nan,0.200164,nan,2.544261
20,1.025471,1.024771,1.776326,0.200183,-8.545300,2.508781
21,0.755440,0.755284,nan,0.200183,nan,1.953279
22,0.874238,0.874130,1.751723,0.200203,-8.359986,2.201430
23,0.917874,0.918170,nan,0.200203,nan,2.269208
24,1.010905,1.012183,1.371755,0.200222,-6.268912,2.474362
25,0.758659,0.760503,nan,0.200222,nan,1.977936
26,1.053303,1.053429,1.532212,0.200241,-7.159467,2.550928
27,0.971631,0.971782,nan,0.200241,nan,2.415587
28,0.834088,0.833698,1.719878,0.200261,-7.954073,2.118260
29,0.951989,0.954308,nan,0.200261,nan,2.372139
30,0.848504,0.850732,1.499936,0.200280,-7.101098,2.134126
31,0.839003,0.841487,nan,0.200280,nan,2.141339
32,0.981752,0.982702,1.867610,0.200300,-8.666287,2.411092
33,1.147911,1.148320,nan,0.200300,nan,2.777911
34,0.745233,0.744536,1.681502,0.200320,-7.422865,1.960830
35,0.720591,0.718338,nan,0.200320,nan,1.898885
36,1.144334,1.141321,1.351090,0.200339,-5.227550,2.742882
37,0.914256,0.915306,nan,0.200339,nan,2.297892
38,0.635045,0.636676,1.924543,0.200358,-8.292047,1.720143
39,0.941563,0.945245,nan,0.200358,nan,2.352997
40,0.692896,0.698189,1.706828,0.200378,-7.620956,1.838256
41,0.862656,0.863384,nan,0.200378,nan,2.185218
42,0.935619,0.936625,1.826258,0.200397,-7.398925,2.340194
43,0.793754,0.792291,nan,0.200397,nan,2.022119
44,0.768299,0.774607,1.684233,0.200417,-7.275279,1.975858
45,0.769975,0.775785,nan,0.200417,nan,1.974118
46,0.826642,0.830456,1.941582,0.200436,-7.742638,2.128109
47,0.990047,0.994920,nan,0.200436,nan,2.448549
48,0.975227,0.986122,1.763391,0.200456,-6.713483,2.407609
49,1.131406,1.141977,nan,0.200456,nan,2.726726
50,0.728998,0.724551,2.034134,0.200476,-8.299759,1.902667
51,1.034713,1.036589,nan,0.200476,nan,2.539343
52,0.743077,0.742265,1.946377,0.200496,-7.631289,1.937407
53,0.891074,0.889889,nan,0.200496,nan,2.223624
54,0.834691,0.845070,1.870456,0.200515,-6.196570,2.134692
55,0.711596,0.714163,nan,0.200515,nan,1.855790
56,0.709958,0.706832,2.282813,0.200535,-8.222426,1.887405
57,0.746789,0.754139,nan,0.200535,nan,1.939734
58,0.678618,0.682113,1.815774,0.200554,-6.065576,1.788347
59,0.699564,0.701534,nan,0.200554,nan,1.837433
60,0.594804,0.599685,2.567423,0.200574,-8.595002,1.608901
61,0.665772,0.656957,nan,0.200574,nan,1.769259
62,0.829321,0.823531,2.669414,0.200594,-8.385968,2.096552
63,0.802141,0.799376,nan,0.200594,nan,2.035336
64,0.689130,0.694305,2.689133,0.200614,-8.078362,1.822245
65,0.480257,0.477045,nan,0.200614,nan,1.369514
66,0.642116,0.633078,2.541318,0.200634,-6.869685,1.715886
67,0.718029,0.713019,nan,0.200634,nan,1.859802
68,0.787026,0.787246,2.514179,0.200654,-6.975208,2.018376
69,0.835271,0.853682,nan,0.200654,nan,2.119922
70,0.578420,0.567861,3.150851,0.200674,-7.954306,1.569245
71,0.699589,0.692094,nan,0.200674,nan,1.816882
72,0.638026,0.628286,2.447813,0.200693,-5.961586,1.717319
73,0.710759,0.702766,nan,0.200693,nan,1.853356
74,0.866298,0.853834,3.093986,0.200713,-7.498132,2.173491
75,0.623846,0.616333,nan,0.200713,nan,1.662729
76,0.529408,0.524970,2.182047,0.200731,-5.086153,1.494968
77,0.814219,0.801011,nan,0.200731,nan,2.067624
78,0.738842,0.725410,2.488150,0.200748,-5.868505,1.922543
79,0.591307,0.581322,nan,0.200748,nan,1.580148
80,0.532907,0.531460,2.484933,0.200765,-6.483209,1.471723
81,0.578040,0.569229,nan,0.200765,nan,1.591933
82,0.503594,0.499758,2.073297,0.200781,-4.832295,1.392366
83,0.668907,0.669371,nan,0.200781,nan,1.750759
84,0.711616,0.707330,3.033668,0.200798,-8.654896,1.873103
85,0.762333,0.753956,nan,0.200798,nan,1.966546
86,0.427043,0.410791,2.700762,0.200815,-8.092005,1.248887
87,0.591277,0.585356,nan,0.200815,nan,1.599578
88,0.669446,0.658728,2.493417,0.200833,-6.974942,1.768201
89,0.466275,0.447600,nan,0.200833,nan,1.360741
90,0.709029,0.688849,2.499908,0.200850,-6.069023,1.867879
91,0.551278,0.538183,nan,0.200850,nan,1.538675
92,0.565901,0.556157,2.681898,0.200867,-6.326904,1.557787
93,0.591277,0.587591,nan,0.200867,nan,1.600839
94,0.631040,0.617501,2.721885,0.200883,-6.001149,1.699586
95,0.463245,0.453714,nan,0.200883,nan,1.327575
96,0.396008,0.382040,2.405829,0.200899,-5.944206,1.180063
97,0.378407,0.359477,nan,0.200899,nan,1.141711
98,0.537822,0.512626,2.954558,0.200915,-6.383002,1.480000
99,0.483130,0.486460,nan,0.200915,nan,1.377544
100,0.618288,0.606822,3.103498,0.200930,-5.919977,1.667376
101,0.449081,0.437509,nan,0.200930,nan,1.290233
102,0.489331,0.491917,2.601078,0.200944,-5.589993,1.376814
103,0.619930,0.624204,nan,0.200944,nan,1.678219
104,0.579692,0.566292,3.263955,0.200960,-7.086873,1.612633
105,0.381198,0.378039,nan,0.200960,nan,1.160380
106,0.628181,0.616518,2.956981,0.200975,-7.546945,1.679110
107,0.553483,0.551377,nan,0.200975,nan,1.519482
108,0.514286,0.495103,2.682741,0.200990,-5.114892,1.469417
109,0.426955,0.419051,nan,0.200990,nan,1.251624
110,0.429296,0.399915,3.188849,0.201005,-6.469790,1.252660
111,0.495485,0.478912,nan,0.201005,nan,1.422804
112,0.568182,0.527001,3.538902,0.201020,-7.463541,1.549010
113,0.346793,0.336934,nan,0.201020,nan,1.076610
114,0.453828,0.442579,2.686036,0.201036,-6.266743,1.323511
115,0.503241,0.481820,nan,0.201036,nan,1.410563
116,0.296507,0.289051,2.815375,0.201051,-6.917706,0.975765
117,0.559885,0.546206,nan,0.201051,nan,1.514085
118,0.475023,0.453493,3.152005,0.201066,-5.603755,1.365319
119,0.556248,0.529589,nan,0.201066,nan,1.546753
120,0.292365,0.278035,3.090997,0.201083,-8.848145,0.981260
