date,portfolio_return,qqq_return
2012-01-09,0.00000000,0.01265373
2012-01-17,0.03328320,0.01891705
2012-01-23,0.01997155,0.01839553
2012-01-30,0.00218239,0.01103863
2012-02-06,0.03275428,0.02564101
2012-02-13,-0.00881304,0.01693547
2012-02-21,0.00779928,0.00888186
2012-02-27,0.00269892,0.00691719
2012-03-05,-0.00825719,0.00234182
2012-03-12,0.01005111,0.01323997
2012-03-19,0.01921269,0.02982313
2012-03-26,0.00998446,0.01671895
2012-04-02,-0.00909783,0.00205549
2012-04-09,-0.03586623,-0.01523811
2012-04-16,-0.02395213,-0.02618661
2012-04-23,-0.00087851,-0.00565310
2012-04-30,0.02210013,0.02581439
2012-05-07,-0.03130475,-0.02995806
2012-05-14,-0.02308140,-0.01822113
2012-05-21,-0.01686681,-0.01682925
2012-05-29,0.01799192,0.00559914
2012-06-04,-0.04013794,-0.03165768
2012-06-11,0.01988777,0.01544279
2012-06-18,0.03049649,0.02863615
2012-06-25,-0.02370550,-0.02280593
2012-07-02,0.05210117,0.03573149
2012-07-09,-0.01265505,-0.00543898
2012-07-16,-0.01574010,-0.01249999
2012-07-23,0.00110972,0.00411390
2012-07-30,0.02474545,0.02143083
2012-08-06,0.01923818,0.01974697
2012-08-13,0.01308781,0.01391828
2012-08-20,0.01997864,0.02088931
2012-08-27,-0.01076017,-0.00029226
2012-09-04,-0.00366526,-0.00453224
2012-09-10,0.02314001,0.00660897
2012-09-17,0.01764710,0.02436531
2012-09-24,-0.00266716,-0.00669422
2012-10-01,-0.01670336,-0.01821045
2012-10-08,0.01405818,-0.00175263
2012-10-15,-0.03607335,-0.01726409
2012-10-22,-0.02308735,-0.01712076
2012-11-05,-0.00446334,-0.00636168
2012-11-12,-0.02464106,-0.03323171
2012-11-19,0.00068386,0.00567645
2012-11-26,0.02146299,0.02195048
2012-12-03,0.01461756,0.00751761
2012-12-10,0.01063307,-0.00837514
2012-12-17,0.01265248,0.00660320
2012-12-24,0.00443645,-0.00732271
2012-12-31,0.08796946,0.00092205
2013-01-07,0.03252432,0.02333801
2013-01-14,0.01138607,0.00465113
2013-01-22,0.00918763,0.00328556
2013-01-28,0.01611843,-0.00044654
2013-02-04,-0.00960083,-0.00997763
2013-02-11,0.01032482,0.02301442
2013-02-19,0.00829268,0.00338179
2013-02-25,-0.03299033,-0.02828254
2013-03-04,0.03026987,0.02066058
2013-03-11,0.04262275,0.01906030
2013-03-18,-0.01309281,-0.00884443
2013-03-25,0.01264830,-0.00029263
2013-04-01,0.00628107,0.00234129
2013-04-08,-0.00803611,-0.00408757
2013-04-15,0.00643918,0.00498382
2013-04-22,0.10389639,0.00335477
2013-04-29,0.00819025,0.02064251
2013-05-06,0.01599115,0.03119217
2013-05-13,0.01749050,0.01022096
2013-05-20,0.00202917,0.01435607
2013-05-28,0.00114875,-0.00404371
2013-06-03,-0.00601235,-0.00690218
2013-06-10,0.00859609,0.00054512
2013-06-17,-0.01223277,-0.00599285
2013-06-24,-0.03570553,-0.04453275
2013-07-01,0.24326730,0.02839518
2013-07-08,0.00854537,0.01310839
2013-07-15,0.04956016,0.03881624
2013-07-22,0.00751317,-0.00874525
2013-07-29,-0.02471738,0.00561430
2013-08-05,0.01741505,0.02379361
2013-08-12,-0.00815160,-0.00454425
2013-08-19,-0.02959060,-0.01721664
2013-08-26,0.01840990,0.01804911
2013-09-03,-0.00845668,-0.01055922
2013-09-09,0.03758739,0.02542820
2013-09-16,0.25745648,0.00025693
2013-09-23,0.00658135,0.01258835
2013-09-30,0.00360554,0.00063422
2013-10-07,-0.00129218,-0.00177484
2013-10-14,0.00348617,0.01333507
2013-10-21,0.01749960,0.03183357
2013-10-28,0.00720569,0.00716624
2013-11-04,-0.02619029,0.00012062
2013-11-11,-0.01972017,-0.00627031
2013-11-18,0.01347854,0.00885810
2013-11-25,0.02419492,0.01262934
2013-12-02,0.00764858,0.01532250
2013-12-09,-0.00076717,0.01017776
2013-12-16,-0.01166446,-0.01192819
2013-12-23,0.05141665,0.02449606
2013-12-30,0.00615984,-0.00022886
