update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,0.901970,0.911632,nan,0.200000,nan,2.275441
2,0.868504,0.875237,1.475761,0.200020,-7.244654,2.211601
3,0.814093,0.818111,nan,0.200020,nan,2.105553
4,0.780850,0.784496,1.440795,0.200040,-7.080347,2.000976
5,0.801078,0.800640,nan,0.200040,nan,2.067897
6,0.802378,0.799952,1.896202,0.200060,-9.284523,2.046173
7,0.750823,0.746567,nan,0.200060,nan,1.936813
8,0.702103,0.699704,1.821917,0.200079,-8.900404,1.832670
9,1.080048,1.077491,nan,0.200079,nan,2.621464
10,0.765659,0.763920,1.178063,0.200098,-5.669527,1.995248
11,0.876817,0.876955,nan,0.200098,nan,2.211896
12,0.771506,0.773015,1.480105,0.200116,-7.160507,1.999182
13,0.771562,0.773447,nan,0.200116,nan,1.980308
14,0.691731,0.692519,1.510520,0.200134,-7.239088,1.857243
15,0.999619,1.000664,nan,0.200134,nan,2.466563
16,0.745281,0.746157,1.439562,0.200152,-6.795669,1.962759
17,0.800874,0.799240,nan,0.200152,nan,2.089334
18,0.734083,0.732941,1.616029,0.200171,-7.668281,1.899270
19,0.764592,0.763267,nan,0.200171,nan,1.975761
20,0.862684,0.861861,1.193196,0.200188,-5.588236,2.179732
21,0.863904,0.864626,nan,0.200188,nan,2.180967
22,0.809925,0.811626,1.375304,0.200206,-6.322209,2.097959
23,0.849287,0.850734,nan,0.200206,nan,2.147154
24,0.670173,0.670538,1.828683,0.200224,-8.363239,1.788745
25,0.750023,0.749918,nan,0.200224,nan,1.930781
26,0.621017,0.620303,2.055668,0.200243,-9.542049,1.667707
27,0.876065,0.876179,nan,0.200243,nan,2.200482
28,0.758318,0.759613,1.582430,0.200261,-6.816323,1.977387
29,0.820933,0.821160,nan,0.200261,nan,2.102692
30,0.693052,0.690335,1.340485,0.200279,-5.430506,1.821611
31,0.592235,0.585696,nan,0.200279,nan,1.625475
32,0.577022,0.571486,1.802370,0.200297,-7.835985,1.597504
33,0.689295,0.687121,nan,0.200297,nan,1.824007
34,0.515170,0.512964,1.763098,0.200315,-7.367700,1.472087
35,0.615104,0.616886,nan,0.200315,nan,1.698824
36,0.634475,0.635412,1.904519,0.200333,-8.109484,1.714757
37,0.798780,0.793672,nan,0.200333,nan,2.047561
38,0.703171,0.690938,1.770087,0.200351,-6.393379,1.851520
39,0.751913,0.738911,nan,0.200351,nan,1.972268
40,0.658700,0.643490,2.174621,0.200370,-8.431641,1.769310
41,0.590189,0.577810,nan,0.200370,nan,1.581782
42,0.513219,0.504389,1.639706,0.200388,-6.064754,1.464181
43,0.519448,0.513479,nan,0.200388,nan,1.472128
44,0.721017,0.719726,2.088316,0.200407,-7.618945,1.897031
45,0.524523,0.525850,nan,0.200407,nan,1.492265
46,0.654189,0.655646,2.151800,0.200425,-7.461956,1.751391
47,0.728873,0.730494,nan,0.200425,nan,1.911836
48,0.537129,0.525782,2.454688,0.200444,-8.109571,1.522813
49,0.556345,0.541480,nan,0.200444,nan,1.537505
50,0.640789,0.627925,2.071981,0.200463,-6.641257,1.737483
51,0.468207,0.448345,nan,0.200463,nan,1.338017
52,0.481375,0.469393,2.177644,0.200481,-7.155918,1.364143
53,0.467495,0.447786,nan,0.200481,nan,1.343726
54,0.436887,0.411529,2.557904,0.200500,-8.070863,1.301792
55,0.572667,0.556702,nan,0.200500,nan,1.589815
56,0.541314,0.530401,2.175410,0.200520,-8.112577,1.518047
57,0.502294,0.492410,nan,0.200520,nan,1.431950
58,0.538959,0.520057,2.179429,0.200538,-5.723466,1.510800
59,0.439289,0.424901,nan,0.200538,nan,1.309417
60,0.516429,0.505238,2.144261,0.200556,-6.808135,1.475377
61,0.519116,0.508191,nan,0.200556,nan,1.454378
62,0.547867,0.538415,2.123457,0.200574,-5.951114,1.520183
63,0.475678,0.460615,nan,0.200574,nan,1.366586
64,0.626786,0.608726,1.996757,0.200590,-4.222958,1.668407
65,0.475094,0.454633,nan,0.200590,nan,1.369264
66,0.453192,0.424708,2.896446,0.200606,-7.131841,1.298136
67,0.547843,0.526481,nan,0.200606,nan,1.517878
68,0.508876,0.487622,2.497424,0.200621,-5.851344,1.436264
69,0.503286,0.465709,nan,0.200621,nan,1.406509
70,0.496430,0.477647,2.603816,0.200637,-6.892076,1.411941
71,0.390921,0.371375,nan,0.200637,nan,1.171692
72,0.422783,0.400058,3.239504,0.200654,-8.956949,1.247388
73,0.441595,0.425024,nan,0.200654,nan,1.293670
74,0.485530,0.468761,2.913008,0.200671,-7.526222,1.388822
75,0.598931,0.581091,nan,0.200671,nan,1.642111
76,0.456144,0.444540,2.642946,0.200689,-8.347727,1.333313
77,0.418362,0.401730,nan,0.200689,nan,1.253818
78,0.411054,0.390540,3.207222,0.200708,-8.296936,1.215050
79,0.411407,0.402286,nan,0.200708,nan,1.221306
80,0.421903,0.412610,2.610097,0.200727,-6.633397,1.256339
81,0.504910,0.494922,nan,0.200727,nan,1.436549
82,0.556784,0.550452,2.906163,0.200746,-8.303112,1.528649
83,0.466914,0.457666,nan,0.200746,nan,1.347429
84,0.525407,0.516513,3.088438,0.200765,-8.356024,1.469965
85,0.539748,0.530408,nan,0.200765,nan,1.491224
86,0.394315,0.383793,3.251839,0.200785,-8.345091,1.203781
87,0.394617,0.386375,nan,0.200785,nan,1.196518
88,0.309225,0.300362,2.086683,0.200803,-4.070257,0.987766
89,0.511721,0.500934,nan,0.200803,nan,1.429117
90,0.410720,0.405148,2.833800,0.200821,-6.225311,1.255127
91,0.456651,0.447864,nan,0.200821,nan,1.312621
92,0.336527,0.330739,3.046392,0.200839,-8.259541,1.047820
93,0.437667,0.427863,nan,0.200839,nan,1.283776
94,0.342186,0.337490,2.916352,0.200857,-7.586621,1.080174
95,0.346273,0.345622,nan,0.200857,nan,1.085299
96,0.422954,0.418634,3.106369,0.200876,-8.625349,1.207758
97,0.369148,0.368349,nan,0.200876,nan,1.154866
98,0.354223,0.348822,2.704742,0.200895,-6.890875,1.123760
99,0.331150,0.323417,nan,0.200895,nan,1.060606
100,0.279810,0.270550,3.037321,0.200914,-7.628428,0.950465
101,0.436305,0.434833,nan,0.200914,nan,1.277382
102,0.346153,0.339762,3.164907,0.200933,-6.133595,1.082268
103,0.347524,0.343008,nan,0.200933,nan,1.104948
104,0.375215,0.375629,2.936296,0.200951,-7.083116,1.131047
105,0.347889,0.346926,nan,0.200951,nan,1.067179
106,0.365990,0.366956,2.825678,0.200970,-7.522608,1.134687
107,0.439967,0.438227,nan,0.200970,nan,1.290369
108,0.349233,0.350581,3.274849,0.200988,-7.227896,1.123235
109,0.386340,0.384035,nan,0.200988,nan,1.146690
110,0.443076,0.439538,3.131092,0.201007,-7.232922,1.298928
111,0.353909,0.348539,nan,0.201007,nan,1.090523
112,0.414096,0.413011,3.758146,0.201026,-8.584417,1.226107
113,0.361010,0.355334,nan,0.201026,nan,1.106514
114,0.239336,0.238387,2.968118,0.201045,-6.485724,0.873056
115,0.409577,0.407960,nan,0.201045,nan,1.236834
116,0.394799,0.396179,3.679104,0.201064,-8.428084,1.167114
117,0.330060,0.328521,nan,0.201064,nan,1.021174
118,0.334219,0.329593,3.250787,0.201084,-6.886169,1.087640
119,0.332223,0.332663,nan,0.201084,nan,1.042954
120,0.386358,0.378760,3.154942,0.201103,-7.345224,1.199969
121,0.415076,0.415654,nan,0.201103,nan,1.232403
122,0.534413,0.529605,2.982855,0.201121,-5.634553,1.499442
123,0.427960,0.418289,nan,0.201121,nan,1.299185
124,0.421080,0.413497,2.813770,0.201139,-7.046732,1.257408
125,0.404457,0.400218,nan,0.201139,nan,1.215992
126,0.268541,0.261510,3.186085,0.201156,-5.841264,0.919479
127,0.425901,0.423707,nan,0.201156,nan,1.292656
128,0.303978,0.301616,3.412511,0.201173,-6.439446,0.994446
129,0.318215,0.316325,nan,0.201173,nan,1.014105
130,0.345411,0.338614,3.263975,0.201190,-6.931593,1.090339
131,0.319504,0.313017,nan,0.201190,nan,1.041555
132,0.354779,0.354098,2.764585,0.201207,-5.854725,1.102117
133,0.327983,0.323066,nan,0.201207,nan,1.033776
134,0.443803,0.447907,2.872159,0.201223,-6.783163,1.298100
135,0.518685,0.523658,nan,0.201223,nan,1.468487
136,0.394968,0.409483,2.684565,0.201240,-8.129929,1.176098
137,0.582005,0.579321,nan,0.201240,nan,1.582863
138,0.314074,0.311463,2.913876,0.201257,-6.655547,1.029981
139,0.407697,0.389158,nan,0.201257,nan,1.233066
140,0.437170,0.423605,2.684635,0.201273,-5.085133,1.254949
141,0.508108,0.476822,nan,0.201273,nan,1.425177
142,0.434065,0.415335,3.884218,0.201289,-7.058822,1.270535
143,0.359700,0.363965,nan,0.201289,nan,1.111692
144,0.379518,0.383780,3.843623,0.201305,-6.619135,1.155778
145,0.464153,0.459240,nan,0.201305,nan,1.333102
146,0.441043,0.445581,3.206439,0.201321,-6.183517,1.292781
147,0.316997,0.318091,nan,0.201321,nan,1.010815
148,0.226006,0.231275,3.417949,0.201336,-5.948313,0.834097
149,0.470276,0.488411,nan,0.201336,nan,1.371752
150,0.419521,0.436488,3.129104,0.201351,-7.219629,1.250389
151,0.462281,0.463545,nan,0.201351,nan,1.332558
152,0.452364,0.440411,3.352960,0.201367,-6.513630,1.340539
153,0.424882,0.411586,nan,0.201367,nan,1.264757
154,0.434146,0.433009,3.901229,0.201383,-7.017534,1.265520
155,0.327636,0.316799,nan,0.201383,nan,1.031152
156,0.332874,0.329646,3.877356,0.201399,-7.134567,1.034012
157,0.383859,0.384610,nan,0.201399,nan,1.160973
158,0.344631,0.338946,2.984936,0.201414,-6.306518,1.105007
159,0.295242,0.301469,nan,0.201414,nan,0.962869
160,0.372385,0.382179,2.690302,0.201430,-6.111057,1.162122
161,0.377396,0.381810,nan,0.201430,nan,1.113655
162,0.408257,0.417833,3.597945,0.201445,-6.624092,1.236850
163,0.365909,0.378671,nan,0.201445,nan,1.120913
164,0.341150,0.355687,3.855884,0.201462,-7.611979,1.100699
165,0.380087,0.377763,nan,0.201462,nan,1.179354
166,0.493263,0.478011,3.891256,0.201478,-6.746860,1.398395
167,0.354653,0.352147,nan,0.201478,nan,1.109891
168,0.378848,0.371301,3.718659,0.201494,-6.927332,1.174804
169,0.324478,0.318652,nan,0.201494,nan,1.048485
170,0.266493,0.261299,4.200586,0.201512,-8.516272,0.960592
171,0.269395,0.262312,nan,0.201512,nan,0.932771
172,0.332823,0.321478,3.636980,0.201529,-6.077596,1.058018
173,0.357447,0.363359,nan,0.201529,nan,1.129797
174,0.485101,0.483287,4.040625,0.201546,-8.036184,1.377370
175,0.339711,0.341558,nan,0.201546,nan,1.079042
176,0.522234,0.516478,3.501258,0.201566,-9.103098,1.475560
177,0.324986,0.337305,nan,0.201566,nan,0.992233
178,0.486225,0.492636,3.141394,0.201584,-6.488193,1.394578
179,0.434834,0.456554,nan,0.201584,nan,1.305068
180,0.571194,0.584881,4.081334,0.201604,-8.235636,1.577811
181,0.461624,0.469994,nan,0.201604,nan,1.348547
182,0.465431,0.462171,3.779393,0.201623,-6.773468,1.319175
183,0.456283,0.451380,nan,0.201623,nan,1.332985
184,0.289686,0.313755,4.349031,0.201642,-7.427425,0.939946
185,0.271932,0.262971,nan,0.201642,nan,0.915092
186,0.401342,0.397143,4.426893,0.201662,-7.364829,1.234781
187,0.441243,0.436612,nan,0.201662,nan,1.293185
188,0.267146,0.261396,4.163634,0.201681,-7.711439,0.949956
189,0.410474,0.417120,nan,0.201681,nan,1.266129
190,0.319626,0.324579,3.678302,0.201701,-7.486572,1.023998
191,0.377052,0.384243,nan,0.201701,nan,1.134402
192,0.451505,0.450455,3.326858,0.201721,-6.923584,1.319707
193,0.365489,0.372781,nan,0.201721,nan,1.145029
194,0.360351,0.360341,3.566348,0.201739,-5.312084,1.140414
195,0.299095,0.300747,nan,0.201739,nan,0.993191
196,0.347587,0.348141,4.103448,0.201757,-6.320394,1.074818
197,0.339843,0.329919,nan,0.201757,nan,1.085256
198,0.287839,0.287466,3.750328,0.201775,-7.184146,0.936756
199,0.303452,0.299850,nan,0.201775,nan,0.975777
200,0.370206,0.369793,3.817629,0.201793,-6.525864,1.167287
201,0.396775,0.407624,nan,0.201793,nan,1.180572
202,0.473955,0.481938,3.144201,0.201809,-4.641455,1.363726
203,0.384236,0.398808,nan,0.201809,nan,1.135206
204,0.485638,0.501774,3.762301,0.201824,-5.303894,1.395325
205,0.373949,0.376125,nan,0.201824,nan,1.131892
206,0.292855,0.294771,3.167507,0.201839,-5.671038,0.971397
207,0.268963,0.268808,nan,0.201839,nan,0.922917
208,0.413734,0.410986,3.562315,0.201854,-7.227168,1.254855
209,0.413000,0.417926,nan,0.201854,nan,1.213503
210,0.399247,0.399088,4.467499,0.201869,-6.813955,1.214670
211,0.353287,0.353838,nan,0.201869,nan,1.107472
212,0.335835,0.340123,3.378047,0.201884,-6.709702,1.071436
213,0.417122,0.420668,nan,0.201884,nan,1.225216
214,0.342698,0.349865,5.527463,0.201901,-7.810040,1.126888
215,0.458266,0.456692,nan,0.201901,nan,1.322351
216,0.298280,0.296275,3.656564,0.201917,-6.983126,1.015813
217,0.459269,0.467667,nan,0.201917,nan,1.345293
218,0.331482,0.331647,4.127562,0.201934,-6.992282,1.022869
219,0.396650,0.390969,nan,0.201934,nan,1.179456
220,0.551275,0.549530,3.368067,0.201951,-6.702207,1.545579
221,0.495431,0.499957,nan,0.201951,nan,1.449909
222,0.477372,0.477465,4.345364,0.201968,-7.477592,1.372657
