date,portfolio_return,qqq_return
2024-01-08,0.00000000,0.00586208
2024-01-16,-0.01427221,0.01128529
2024-01-22,0.02530446,0.02981545
2024-01-29,0.01688266,0.01522297
2024-02-05,-0.01777571,0.00070073
2024-02-12,0.01803106,0.01608119
2024-02-20,-0.01293343,-0.01842236
2024-02-26,0.01677183,0.02159969
2024-03-04,0.02024349,0.01711145
2024-03-11,-0.00682923,-0.01493170
2024-03-18,1.25920987,0.00020576
2024-03-25,0.02571876,0.01664076
2024-04-01,0.00255094,0.00042720
2024-04-08,-0.01165209,-0.00977639
2024-04-15,-0.03744249,-0.02165231
2024-04-22,-0.01935112,-0.02839510
2024-04-29,0.04114018,0.03326009
2024-05-06,0.02047912,0.01733102
2024-05-13,0.00032071,0.00642814
2024-05-20,0.03901410,0.02669951
2024-05-28,-0.01453316,0.01048557
2024-06-03,-0.02312765,-0.01424902
2024-06-10,0.00938731,0.02582036
2024-06-17,0.00281492,0.04352131
2024-06-24,0.00088041,-0.02288378
2024-07-01,1.39331567,0.01679471
2024-07-08,0.01246423,0.03199698
2024-07-15,0.01114516,-0.00239273
2024-07-22,-0.01032970,-0.02787461
2024-07-29,-0.03691544,-0.03819044
2024-08-05,-0.05993187,-0.06150032
2024-08-12,0.01856074,0.03677334
2024-08-19,0.05699854,0.06621911
2024-08-26,-0.02694523,-0.01232155
2024-09-03,-0.02327099,-0.02846383
2024-09-09,-0.00542184,-0.01591565
2024-09-16,0.02227877,0.04132377
2024-09-23,0.00791018,0.02070835
2024-09-30,0.00390806,0.01041321
2024-10-07,-0.01539877,-0.01223185
2024-10-14,0.03749041,0.03194357
2024-10-21,-0.01101442,-0.00418088
2024-10-28,-0.01030639,-0.00004041
2024-11-04,-0.00872417,-0.01895435
2024-11-11,0.04125819,0.05726223
2024-11-18,-0.03050056,-0.02689560
2024-11-25,0.04745125,0.01313949
2024-12-02,0.00368800,0.01717362
2024-12-09,0.02950936,0.01375930
2024-12-16,0.00723446,0.03022700
2024-12-23,-0.04335411,-0.02842966
2024-12-30,-0.01187594,-0.01388492
2025-01-06,1.63439441,0.01731928
2025-01-13,-0.02111158,-0.03618405
2025-01-21,0.05000943,0.03805679
2025-01-27,0.00071432,-0.02017905
2025-02-03,0.00884859,0.00758438
2025-02-10,0.01624545,0.02150125
2025-02-18,0.01569192,0.01912139
2025-02-24,-0.01902275,-0.03615329
2025-03-03,-0.03111126,-0.04389560
2025-03-10,-0.01724631,-0.04892863
2025-03-17,0.01741569,0.02123829
2025-03-24,0.01938648,0.01634322
2025-03-31,-0.04555502,-0.04430765
2025-04-07,-0.08778410,-0.09645571
2025-04-14,0.06199842,0.07975172
2025-04-21,-0.03340582,-0.05327014
2025-04-28,0.07623926,0.09073912
2025-05-05,0.00813813,0.02861918
2025-05-12,0.03626418,0.04510941
2025-05-19,0.02137795,0.02788226
2025-05-27,-0.01344321,-0.00151346
2025-06-02,-0.00677309,0.00381806
2025-06-09,0.03181337,0.01431546
2025-06-16,0.00994285,0.00676459
2025-06-23,-0.01161940,-0.00494105
2025-06-30,0.13180873,0.03759990
2025-07-07,0.01340799,0.00070701
2025-07-14,0.00562811,0.00757204
2025-07-21,0.01692666,0.01431107
2025-07-28,0.02870344,0.00703694
2025-08-04,-0.01380578,-0.00711099
2025-08-11,-0.08474714,0.01551143
2025-08-18,0.02102028,0.00743652
2025-08-25,-0.01167572,-0.01176548
2025-09-02,0.00091452,-0.00824101
2025-09-08,0.00977253,0.02342562
2025-09-15,0.00837437,0.02212932
2025-09-22,0.00977885,0.01777991
2025-09-29,-0.00102127,-0.00576226
2025-10-06,0.00521723,0.01499848
2025-10-13,-0.02866436,-0.00937949
2025-10-20,0.01462525,0.01583025
2025-10-27,0.02456376,0.02706291
2025-11-03,-0.03451525,0.00635258
2025-11-10,-0.01590101,-0.01400145
2025-11-17,-0.02175714,-0.03140094
2025-11-24,0.00448169,0.00248484
2025-12-01,0.01814007,0.01984601
2025-12-08,0.01045388,0.01152040
2025-12-15,-0.01103461,-0.02200944
2025-12-22,0.01666397,0.01420062
2025-12-29,0.00135465,0.00268079
2026-01-05,16.62304497,-0.00463866
2026-01-12,0.01403554,0.01485460
2026-01-20,-0.02256000,-0.03047018
2026-01-26,0.02717703,0.02861564
2026-02-02,-0.02419546,0.00108719
2026-02-09,-0.04852269,-0.01887758
2026-02-17,-0.02713769,-0.02119420
2026-02-23,0.00339791,0.00018291
2026-03-02,0.04683758,0.01110732
