update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,0.877779,0.873070,nan,0.200000,nan,2.203542
2,1.311748,1.305625,1.402050,0.200020,-6.911459,3.083614
3,1.587480,1.584657,nan,0.200020,nan,3.657252
4,1.425064,1.424276,1.832695,0.200039,-9.048223,3.327194
5,1.438241,1.439633,nan,0.200039,nan,3.353322
6,1.160449,1.161802,1.789864,0.200059,-8.802532,2.795338
7,0.948683,0.949528,nan,0.200059,nan,2.338283
8,0.997074,0.997265,1.562377,0.200079,-7.652113,2.461417
9,1.207132,1.207420,nan,0.200079,nan,2.870473
10,1.562704,1.562510,1.568676,0.200098,-7.655547,3.584184
11,1.317800,1.318023,nan,0.200098,nan,3.086628
12,0.820176,0.821139,1.587599,0.200118,-7.707694,2.105779
13,1.242989,1.244653,nan,0.200118,nan,2.969170
14,1.322749,1.323881,1.695762,0.200137,-8.260414,3.140033
15,1.143823,1.144941,nan,0.200137,nan,2.758099
16,1.392978,1.393406,1.466321,0.200156,-7.065319,3.234484
17,1.262438,1.262339,nan,0.200156,nan,2.999676
18,1.945148,1.946459,1.340192,0.200175,-6.435621,4.348280
19,0.889152,0.890193,nan,0.200175,nan,2.228584
20,1.765697,1.766286,1.529541,0.200194,-7.308887,4.016748
21,1.396705,1.397463,nan,0.200194,nan,3.271236
22,1.694919,1.695503,1.688363,0.200213,-8.091784,3.873275
23,1.255098,1.255692,nan,0.200213,nan,2.995437
24,1.029794,1.030975,1.628288,0.200232,-7.611606,2.519518
25,0.961011,0.962103,nan,0.200232,nan,2.360822
26,1.225571,1.225959,1.717241,0.200251,-8.074979,2.938423
27,0.860937,0.861059,nan,0.200251,nan,2.194057
28,0.733036,0.733917,1.670084,0.200270,-7.676003,1.957647
29,0.862984,0.865475,nan,0.200270,nan,2.193865
30,1.738244,1.741343,1.797249,0.200290,-8.484283,3.934958
31,1.334948,1.336873,nan,0.200290,nan,3.150903
32,1.681288,1.682650,1.804108,0.200310,-8.017567,3.849133
33,1.428730,1.430058,nan,0.200310,nan,3.333373
34,1.623764,1.626717,1.805517,0.200330,-8.170378,3.715652
35,1.032993,1.036136,nan,0.200330,nan,2.539177
36,1.435872,1.439717,1.494455,0.200349,-6.515149,3.299544
37,1.781794,1.786363,nan,0.200349,nan,3.999658
38,1.453408,1.460873,2.199374,0.200369,-9.639355,3.385480
39,1.091251,1.092647,nan,0.200369,nan,2.661387
40,0.986916,0.993031,2.059569,0.200389,-8.604954,2.425202
41,1.418292,1.423278,nan,0.200389,nan,3.300743
42,1.254349,1.261487,1.770088,0.200409,-6.899703,2.960492
43,1.175303,1.186518,nan,0.200409,nan,2.791252
44,0.795111,0.805296,1.797102,0.200428,-6.946579,2.048359
45,1.330017,1.339342,nan,0.200428,nan,3.118369
46,1.042850,1.047161,1.769147,0.200447,-6.734627,2.565640
47,1.473474,1.483087,nan,0.200447,nan,3.400900
48,1.673380,1.684984,2.015132,0.200466,-7.705004,3.821331
49,1.701616,1.718868,nan,0.200466,nan,3.875338
50,1.091369,1.113420,2.117179,0.200485,-7.735133,2.637058
51,0.867322,0.891047,nan,0.200485,nan,2.195918
52,1.482214,1.505233,2.132496,0.200503,-6.671139,3.413598
53,1.366597,1.390442,nan,0.200503,nan,3.160784
54,1.094150,1.120502,2.250893,0.200522,-7.153451,2.662111
55,0.995289,1.031746,nan,0.200522,nan,2.437020
56,1.049049,1.078539,2.530838,0.200541,-9.664600,2.533654
57,1.016934,1.032445,nan,0.200541,nan,2.494563
58,1.509865,1.546658,2.591819,0.200560,-7.885284,3.465105
59,1.076062,1.106739,nan,0.200560,nan,2.610143
60,1.268037,1.298269,2.323362,0.200579,-7.024724,3.005957
61,0.979835,1.017840,nan,0.200579,nan,2.374822
62,1.064077,1.096381,3.077255,0.200599,-10.045732,2.570822
63,1.513986,1.551741,nan,0.200599,nan,3.483370
64,1.761012,1.803777,2.540082,0.200619,-7.218300,3.965019
65,1.239638,1.290655,nan,0.200619,nan,2.920489
66,1.502926,1.544720,2.146756,0.200638,-5.787416,3.449279
67,0.863346,0.904916,nan,0.200638,nan,2.139067
