date,portfolio_return,qqq_return
2022-01-10,0.00000000,-0.05369948
2022-01-18,-0.01283429,-0.02515061
2022-01-24,-0.02519213,-0.04655242
2022-01-31,0.01620621,0.02759694
2022-02-07,-0.02343892,-0.02181513
2022-02-14,0.02420680,-0.02151329
2022-02-22,-0.02352896,-0.02707993
2022-02-28,0.02793990,0.02579272
2022-03-07,-0.05670539,-0.06326414
2022-03-14,-0.03479319,-0.02059340
2022-03-21,0.10751252,0.10029221
2022-03-28,0.02346666,0.04236180
2022-04-04,0.00519082,0.01203032
2022-04-11,-0.05682604,-0.07692926
2022-04-18,-0.00689812,-0.00645373
2022-04-25,-0.01316648,-0.02689780
2022-05-02,-0.03088271,-0.03367916
2022-05-09,-0.07706202,-0.06697443
2022-05-16,0.05272085,0.00434127
2022-05-23,0.00424295,-0.01661973
2022-05-31,0.05277710,0.05042929
2022-06-06,0.00364985,-0.00343842
2022-06-13,-0.09821906,-0.10354143
2022-06-21,0.01462505,0.02058743
2022-06-27,0.03030708,0.04045121
2022-07-05,0.05604004,-0.01877251
2022-07-11,0.00442163,0.00724846
2022-07-18,-0.00020473,0.00124545
2022-07-25,0.04341954,0.03756045
2022-08-01,0.03339744,0.04995504
2022-08-08,0.02139353,0.01725506
2022-08-15,0.02591987,0.03850833
2022-08-22,-0.05612781,-0.05614608
2022-08-29,-0.01474653,-0.03165155
2022-09-06,-0.03701654,-0.03731814
2022-09-12,0.06336037,0.06036514
2022-09-19,-0.06024547,-0.06336488
2022-09-26,-0.06731670,-0.05730972
2022-10-03,0.02549988,-0.00306155
2022-10-10,-0.02009567,-0.02603003
2022-10-17,0.00263363,0.01103563
2022-10-24,0.02613942,0.03378506
2022-10-31,0.02603393,-0.00179565
2022-11-07,-0.00324844,-0.03727295
2022-11-14,0.05393378,0.06670655
2022-11-21,-0.01189598,-0.01243690
2022-11-28,0.00269382,0.00290885
2022-12-05,0.01772519,0.01743845
2022-12-12,-0.00547602,-0.00716183
2022-12-19,-0.04354617,-0.05543101
2022-12-27,-0.01137132,-0.02287308
2023-01-03,-0.11441769,0.00341462
2023-01-09,0.02935109,0.02291288
2023-01-17,0.02540821,0.04065942
2023-01-23,0.02194154,0.02635499
2023-01-30,0.00268089,0.00453349
2023-02-06,-0.00161640,0.04588834
2023-02-13,0.00489603,0.00299748
2023-02-21,-0.02145535,-0.03438424
2023-02-27,-0.00357617,-0.00030608
2023-03-06,0.01780490,0.02068445
2023-03-13,-0.03700804,-0.03109788
2023-03-20,0.02991558,0.05256458
2023-03-27,0.01171101,0.00911857
2023-04-03,0.03552163,0.03688944
2023-04-10,-0.00065904,-0.00712166
2023-04-17,0.00547570,0.00305157
2023-04-24,-0.00475480,-0.00906406
2023-05-01,-0.00482088,0.01974993
2023-05-08,-0.00069669,0.00465564
2023-05-15,0.00456314,0.00957708
2023-05-22,0.01611977,0.03320177
2023-05-30,0.03074974,0.03654779
2023-06-05,0.01700501,0.01405790
2023-06-12,0.00536400,0.01575091
2023-06-20,0.00474180,0.01778136
2023-06-26,-0.01651321,-0.02512947
2023-07-03,-0.00507595,0.03525502
2023-07-10,-0.00203435,-0.01061337
2023-07-17,0.03879883,0.04435528
2023-07-24,-0.00603278,-0.01667488
2023-07-31,0.01465417,0.01980167
2023-08-07,-0.03489598,-0.02212779
2023-08-14,-0.01168394,-0.01290012
2023-08-21,-0.02421887,-0.01741599
2023-08-28,0.00693467,0.00785935
2023-09-05,0.01986792,0.03083760
2023-09-11,-0.00094704,-0.00290953
2023-09-18,-0.01481628,-0.01673873
2023-09-25,-0.02291196,-0.02981174
2023-10-02,0.00139806,0.00458837
2023-10-09,0.01377700,0.01467084
2023-10-16,0.04014987,0.00777501
2023-10-23,-0.04065573,-0.03719442
2023-10-30,-0.02878556,-0.01819102
2023-11-06,0.05642051,0.05730234
2023-11-13,0.01292069,0.02166789
2023-11-20,0.04020785,0.03586861
2023-11-27,0.00021284,-0.00401796
2023-12-04,0.01155518,-0.00732329
2023-12-11,0.01869269,0.02381441
2023-12-18,0.03751801,0.02922734
2023-12-26,0.01154290,0.00933482
