update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,0.901970,0.911632,nan,0.200000,nan,2.275441
2,0.868504,0.875237,1.475761,0.200020,-7.244654,2.211601
3,0.814093,0.818112,nan,0.200020,nan,2.105553
4,0.780851,0.784497,1.440795,0.200040,-7.080347,2.000977
5,0.801079,0.800640,nan,0.200040,nan,2.067898
6,0.802378,0.799952,1.896202,0.200060,-9.284523,2.046173
7,0.750823,0.746568,nan,0.200060,nan,1.936814
8,0.702103,0.699704,1.821917,0.200079,-8.900404,1.832671
9,1.080048,1.077491,nan,0.200079,nan,2.621465
10,0.765660,0.763920,1.178063,0.200098,-5.669527,1.995249
11,0.876818,0.876955,nan,0.200098,nan,2.211897
12,0.771506,0.773016,1.480105,0.200116,-7.160507,1.999183
13,0.771563,0.773447,nan,0.200116,nan,1.980309
14,0.691732,0.692519,1.510520,0.200134,-7.239088,1.857243
15,0.999619,1.000665,nan,0.200134,nan,2.466564
16,0.745281,0.746157,1.439562,0.200152,-6.795669,1.962759
17,0.800875,0.799240,nan,0.200152,nan,2.089334
18,0.734083,0.732942,1.616029,0.200171,-7.668281,1.899271
19,0.764592,0.763267,nan,0.200171,nan,1.975762
20,0.862684,0.861862,1.193196,0.200188,-5.588236,2.179732
21,0.863904,0.864626,nan,0.200188,nan,2.180968
22,0.809925,0.811626,1.375304,0.200206,-6.322209,2.097959
23,0.849288,0.850734,nan,0.200206,nan,2.147155
24,0.670173,0.670538,1.828684,0.200224,-8.363239,1.788745
25,0.750023,0.749918,nan,0.200224,nan,1.930781
26,0.621017,0.620303,2.055668,0.200243,-9.542049,1.667708
27,0.876065,0.876179,nan,0.200243,nan,2.200482
28,0.758318,0.759613,1.582431,0.200261,-6.816323,1.977387
29,0.820933,0.821160,nan,0.200261,nan,2.102693
30,0.693052,0.690335,1.340485,0.200279,-5.430506,1.821612
31,0.592235,0.585696,nan,0.200279,nan,1.625475
32,0.577022,0.571486,1.802371,0.200297,-7.835985,1.597503
33,0.689294,0.687121,nan,0.200297,nan,1.824007
34,0.515171,0.512964,1.763099,0.200315,-7.367700,1.472087
35,0.615104,0.616886,nan,0.200315,nan,1.698825
36,0.634475,0.635412,1.904519,0.200333,-8.109484,1.714758
37,0.798780,0.793673,nan,0.200333,nan,2.047562
38,0.703171,0.690938,1.770088,0.200351,-6.393379,1.851521
39,0.751912,0.738912,nan,0.200351,nan,1.972268
40,0.658700,0.643490,2.174622,0.200370,-8.431641,1.769310
41,0.590189,0.577810,nan,0.200370,nan,1.581782
42,0.513219,0.504389,1.639707,0.200388,-6.064754,1.464181
43,0.519447,0.513479,nan,0.200388,nan,1.472127
44,0.721018,0.719726,2.088317,0.200407,-7.618945,1.897031
45,0.524523,0.525850,nan,0.200407,nan,1.492265
46,0.654190,0.655646,2.151801,0.200425,-7.461956,1.751391
47,0.728872,0.730493,nan,0.200425,nan,1.911835
48,0.537129,0.525782,2.454693,0.200444,-8.109571,1.522813
49,0.556345,0.541480,nan,0.200444,nan,1.537505
50,0.640790,0.627925,2.071980,0.200463,-6.641257,1.737485
51,0.468206,0.448344,nan,0.200463,nan,1.338015
52,0.481375,0.469393,2.177644,0.200481,-7.155918,1.364143
53,0.467495,0.447786,nan,0.200481,nan,1.343726
54,0.436888,0.411529,2.557907,0.200500,-8.070863,1.301792
55,0.572666,0.556701,nan,0.200500,nan,1.589813
56,0.541314,0.530401,2.175408,0.200520,-8.112577,1.518047
57,0.502296,0.492412,nan,0.200520,nan,1.431954
58,0.538962,0.520061,2.179414,0.200538,-5.723466,1.510806
59,0.439289,0.424901,nan,0.200538,nan,1.309417
60,0.516432,0.505243,2.144235,0.200556,-6.808135,1.475384
61,0.519122,0.508199,nan,0.200556,nan,1.454393
62,0.547878,0.538430,2.123403,0.200574,-5.951114,1.520207
63,0.475686,0.460625,nan,0.200574,nan,1.366602
64,0.626791,0.608733,1.996714,0.200590,-4.222958,1.668418
65,0.475099,0.454641,nan,0.200590,nan,1.369272
66,0.453198,0.424718,2.896413,0.200606,-7.131841,1.298152
67,0.547845,0.526483,nan,0.200606,nan,1.517883
68,0.508873,0.487620,2.497428,0.200621,-5.851344,1.436255
69,0.503292,0.465711,nan,0.200621,nan,1.406522
70,0.496427,0.477646,2.603831,0.200637,-6.892076,1.411933
71,0.390920,0.371374,nan,0.200637,nan,1.171687
72,0.422784,0.400058,3.239522,0.200654,-8.956949,1.247391
73,0.441594,0.425022,nan,0.200654,nan,1.293664
74,0.485524,0.468753,2.913027,0.200671,-7.526222,1.388806
75,0.598931,0.581090,nan,0.200671,nan,1.642112
76,0.456145,0.444540,2.642997,0.200689,-8.347727,1.333314
77,0.418359,0.401726,nan,0.200689,nan,1.253810
78,0.411052,0.390534,3.207227,0.200708,-8.296936,1.215041
79,0.411407,0.402286,nan,0.200708,nan,1.221300
80,0.421910,0.412615,2.610120,0.200727,-6.633397,1.256357
81,0.504908,0.494918,nan,0.200727,nan,1.436542
82,0.556790,0.550459,2.906158,0.200746,-8.303112,1.528658
83,0.466921,0.457675,nan,0.200746,nan,1.347445
84,0.525403,0.516508,3.088437,0.200765,-8.356024,1.469956
85,0.539756,0.530416,nan,0.200765,nan,1.491238
86,0.394305,0.383780,3.251822,0.200785,-8.345091,1.203756
87,0.394618,0.386377,nan,0.200785,nan,1.196521
88,0.309236,0.300378,2.086535,0.200803,-4.070257,0.987794
89,0.511729,0.500948,nan,0.200803,nan,1.429136
90,0.410718,0.405142,2.833556,0.200821,-6.225311,1.255115
91,0.456665,0.447886,nan,0.200821,nan,1.312656
92,0.336523,0.330739,3.046231,0.200839,-8.259541,1.047800
93,0.437656,0.427851,nan,0.200839,nan,1.283755
94,0.342202,0.337505,2.916387,0.200857,-7.586621,1.080197
95,0.346267,0.345617,nan,0.200857,nan,1.085257
96,0.422899,0.418575,3.106296,0.200876,-8.625349,1.207635
97,0.369160,0.368360,nan,0.200876,nan,1.154892
98,0.354239,0.348841,2.704561,0.200895,-6.890875,1.123816
99,0.331180,0.323447,nan,0.200895,nan,1.060663
100,0.279833,0.270569,3.037164,0.200914,-7.628428,0.950503
101,0.436349,0.434876,nan,0.200914,nan,1.277462
102,0.346179,0.339786,3.164902,0.200933,-6.133595,1.082299
103,0.347505,0.342984,nan,0.200933,nan,1.104915
104,0.375193,0.375605,2.936126,0.200951,-7.083116,1.130989
105,0.347971,0.347013,nan,0.200951,nan,1.067318
106,0.366043,0.367001,2.825100,0.200970,-7.522608,1.134780
107,0.440030,0.438302,nan,0.200970,nan,1.290385
108,0.349349,0.350720,3.274800,0.200988,-7.227896,1.123490
109,0.386227,0.383922,nan,0.200988,nan,1.146451
110,0.442981,0.439438,3.131841,0.201007,-7.232922,1.298747
111,0.353739,0.348377,nan,0.201007,nan,1.090096
112,0.414035,0.412952,3.759072,0.201026,-8.584417,1.225983
113,0.360916,0.355244,nan,0.201026,nan,1.106219
114,0.239402,0.238444,2.968586,0.201045,-6.485724,0.873216
115,0.409503,0.407821,nan,0.201045,nan,1.236695
116,0.394946,0.396142,3.677684,0.201064,-8.428084,1.167412
117,0.330191,0.328513,nan,0.201064,nan,1.021508
118,0.334198,0.329610,3.249660,0.201084,-6.886169,1.087681
119,0.332531,0.332906,nan,0.201084,nan,1.043644
120,0.386441,0.378879,3.153776,0.201103,-7.345224,1.200066
121,0.415077,0.415752,nan,0.201103,nan,1.232561
122,0.534079,0.530117,2.981411,0.201121,-5.634553,1.498909
123,0.427501,0.418636,nan,0.201121,nan,1.298114
124,0.420557,0.413654,2.813701,0.201139,-7.046732,1.256070
125,0.404426,0.400108,nan,0.201139,nan,1.215996
126,0.268250,0.261148,3.187751,0.201156,-5.841264,0.918749
127,0.425775,0.423323,nan,0.201156,nan,1.292352
128,0.303871,0.301601,3.413434,0.201173,-6.439446,0.994319
129,0.318195,0.316170,nan,0.201173,nan,1.014016
130,0.345375,0.338872,3.262326,0.201190,-6.931593,1.090354
131,0.319598,0.313359,nan,0.201190,nan,1.041945
132,0.354967,0.354388,2.761794,0.201207,-5.854725,1.102771
133,0.327708,0.322723,nan,0.201207,nan,1.032773
134,0.444303,0.448451,2.869102,0.201223,-6.783163,1.298869
135,0.518758,0.523989,nan,0.201223,nan,1.468848
136,0.394630,0.409338,2.683778,0.201240,-8.129929,1.175458
137,0.582383,0.579723,nan,0.201240,nan,1.584175
138,0.313587,0.311268,2.912053,0.201257,-6.655547,1.028958
139,0.407602,0.389802,nan,0.201257,nan,1.233279
140,0.437009,0.423793,2.678434,0.201273,-5.085133,1.254121
141,0.507757,0.477772,nan,0.201273,nan,1.424323
142,0.434185,0.415944,3.880041,0.201289,-7.058822,1.270603
143,0.359631,0.363679,nan,0.201289,nan,1.111490
144,0.380179,0.384196,3.850129,0.201305,-6.619135,1.156889
145,0.465750,0.460995,nan,0.201305,nan,1.336757
146,0.440127,0.444346,3.212203,0.201321,-6.183517,1.290671
147,0.316957,0.317667,nan,0.201321,nan,1.010178
148,0.226433,0.231550,3.437763,0.201336,-5.948313,0.834522
149,0.464288,0.480361,nan,0.201336,nan,1.357334
150,0.409133,0.422960,3.168311,0.201351,-7.219629,1.230186
151,0.451122,0.449252,nan,0.201351,nan,1.305524
152,0.449331,0.436693,3.403421,0.201367,-6.513630,1.336444
153,0.419339,0.406630,nan,0.201367,nan,1.255657
154,0.434174,0.433483,3.919760,0.201383,-7.017534,1.264736
155,0.327574,0.316730,nan,0.201383,nan,1.031385
156,0.334149,0.331522,3.877761,0.201399,-7.134567,1.036966
157,0.385778,0.386032,nan,0.201399,nan,1.164302
158,0.345502,0.339909,2.974275,0.201414,-6.306518,1.106247
159,0.291971,0.294625,nan,0.201414,nan,0.956568
160,0.365196,0.372111,2.686829,0.201430,-6.111057,1.147035
161,0.371869,0.374182,nan,0.201430,nan,1.103074
162,0.423532,0.433449,3.507612,0.201445,-6.624092,1.274496
163,0.395448,0.410450,nan,0.201445,nan,1.187607
164,0.360052,0.378708,3.717063,0.201462,-7.611979,1.144826
165,0.386301,0.384692,nan,0.201462,nan,1.196821
166,0.494611,0.478991,3.821984,0.201478,-6.746860,1.398410
167,0.356686,0.347949,nan,0.201478,nan,1.118208
168,0.376816,0.365297,3.821256,0.201494,-6.927332,1.179051
169,0.317083,0.311364,nan,0.201494,nan,1.025259
170,0.272520,0.269444,4.285426,0.201512,-8.516272,0.968430
171,0.264391,0.263122,nan,0.201512,nan,0.924855
172,0.333451,0.326800,3.669693,0.201529,-6.077596,1.069994
173,0.364448,0.366213,nan,0.201529,nan,1.137309
174,0.491131,0.478748,3.973661,0.201546,-8.036184,1.387449
175,0.345732,0.355022,nan,0.201546,nan,1.095500
176,0.524364,0.521464,3.476740,0.201566,-9.103098,1.476161
177,0.357647,0.376578,nan,0.201566,nan,1.078656
178,0.503247,0.513787,3.150727,0.201584,-6.488193,1.422394
179,0.461439,0.478304,nan,0.201584,nan,1.364675
180,0.592593,0.598111,4.108260,0.201604,-8.235636,1.609094
181,0.498488,0.499865,nan,0.201604,nan,1.422367
182,0.460246,0.454397,3.875142,0.201623,-6.773468,1.303567
183,0.480566,0.477501,nan,0.201623,nan,1.405919
184,0.305467,0.327107,4.331359,0.201642,-7.427425,0.981889
185,0.294719,0.288733,nan,0.201642,nan,0.991713
186,0.413405,0.421423,4.407474,0.201662,-7.364829,1.256920
187,0.441496,0.445493,nan,0.201662,nan,1.287108
188,0.238820,0.228685,4.073091,0.201681,-7.711439,0.878350
189,0.319973,0.337442,nan,0.201681,nan,1.075762
190,0.356790,0.362942,3.673835,0.201701,-7.486572,1.124340
191,0.385698,0.385845,nan,0.201701,nan,1.138984
192,0.463267,0.463167,3.399013,0.201721,-6.923584,1.357032
193,0.365677,0.359658,nan,0.201721,nan,1.138405
194,0.355680,0.357764,3.567253,0.201739,-5.312084,1.133709
195,0.310485,0.308443,nan,0.201739,nan,1.025506
196,0.378409,0.387787,3.909382,0.201757,-6.320394,1.162149
197,0.345835,0.345693,nan,0.201757,nan,1.090338
198,0.319933,0.327991,3.625728,0.201775,-7.184146,1.035844
199,0.336621,0.339554,nan,0.201775,nan,1.043434
200,0.353332,0.350991,3.981193,0.201793,-6.525864,1.132427
201,0.342812,0.338817,nan,0.201793,nan,1.092227
202,0.402862,0.410511,3.541718,0.201809,-4.641455,1.239229
203,0.352136,0.353279,nan,0.201809,nan,1.095467
204,0.393778,0.398589,3.700649,0.201824,-5.303894,1.215523
205,0.397595,0.408790,nan,0.201824,nan,1.200904
206,0.275812,0.281208,2.870481,0.201839,-5.671038,0.926368
207,0.291562,0.296494,nan,0.201839,nan,0.982808
208,0.406741,0.400965,3.594434,0.201854,-7.227168,1.239030
209,0.368373,0.357603,nan,0.201854,nan,1.117111
210,0.283835,0.273933,5.004019,0.201869,-6.813955,0.942449
211,0.377448,0.380570,nan,0.201869,nan,1.142850
212,0.357440,0.367733,3.486307,0.201884,-6.709702,1.115588
213,0.418161,0.419403,nan,0.201884,nan,1.249576
214,0.335947,0.350137,5.056924,0.201901,-7.810040,1.105305
215,0.451560,0.458204,nan,0.201901,nan,1.304179
216,0.294105,0.292325,3.556883,0.201917,-6.983126,1.002116
217,0.485268,0.493822,nan,0.201917,nan,1.408478
218,0.338507,0.347014,4.408588,0.201934,-6.992282,1.039485
219,0.351265,0.345679,nan,0.201934,nan,1.097463
220,0.456362,0.469438,3.665927,0.201951,-6.702207,1.314891
221,0.357773,0.372341,nan,0.201951,nan,1.128069
222,0.401039,0.406503,4.697679,0.201968,-7.477592,1.211268
